ID1,ID2
25235,33920
20085,33915
20085,33916
20085,33917
20085,33918
20090,33919
28184,33925
30894,33915
30894,33916
30894,33917
30894,33918
30894,33919
31153,33915
28199,33916
31153,33917
31153,33918
31193,33915
31193,33916
31193,33917
31193,33918
31193,33919
23652,33918
23692,33919
23698,33918
31290,33919
27677,33915
27677,33916
27677,33917
27677,33918
31379,33919
31379,33920
22387,33915
22387,33916
22387,33917
22387,33918
22510,33915
22510,33916
22510,33917
22510,33918
28439,33919
28439,33920
31695,33919
31760,33919
31760,33920
22848,33919
22848,33920
27284,33920
27284,33921
22833,33920
22493,33915
22493,33916
22493,33917
32429,33918
32466,33915
32466,33916
32466,33917
32466,33918
32516,33925
32543,33925
32575,33925
32682,33915
32682,33917
32682,33918
32733,33918
21672,33925
32888,33925
32963,33915
32963,33916
32963,33917
32963,33918
23402,33924
23398,33915
33052,33916
33052,33917
33052,33918
24559,33924
33139,33915
33139,33916
33139,33917
33153,33924
22449,33915
22449,33916
22449,33917
33225,33918
26230,33915
26230,33916
26230,33917
26230,33918
33725,33915
33725,33918
21038,33918
28313,33918
20335,23290
28921,20257
20410,20257
20295,20257
24981,20257
20666,20257
23251,20257
20455,20257
29821,20257
29909,20257
20715,20257
29891,28678
20090,28678
30894,28678
31193,28678
23652,28678
26385,20335
20410,20335
20295,20335
24981,20335
20666,20335
23251,20335
29821,20335
29909,20335
20410,28921
20295,28921
24981,28921
20666,28921
23251,28921
20455,23237
29821,28921
29909,28921
20715,28921
24645,28921
30410,28921
25102,28921
20295,20410
24981,20410
20666,20410
23251,20410
29777,20410
29821,20410
29909,20410
20715,20410
24645,20410
30410,20410
25102,20410
26991,20295
20319,20295
23251,29208
20455,29208
29821,29208
29909,27728
20724,20507
27557,25032
24645,27980
30410,25032
25102,27980
25339,27980
20666,26991
23251,29622
29777,29622
29821,26991
29909,26991
20715,29622
27557,26991
24645,26991
30410,29622
25102,26991
23251,20666
29777,29729
29821,29731
29909,29729
20715,29729
27557,29729
24645,29729
30410,29729
25102,29729
20455,26648
27707,23251
29891,26648
29909,26648
30030,26648
30117,26648
30178,26648
24645,26648
30410,26648
25102,26648
25188,26648
27707,20455
29891,24626
27616,20455
30030,20455
30117,24626
30178,20455
24645,20455
30419,20455
25102,20455
25188,20455
26520,24626
29909,27707
20724,27066
27557,27066
24645,27066
30410,27066
25102,27066
25244,27066
25339,27066
26603,29891
27284,29891
20724,27616
26603,27616
27557,27616
24645,27618
30410,27616
25102,27618
25244,27616
25339,27618
26520,27616
26603,30030
27557,25133
24645,20724
30410,20724
25102,20724
25244,25133
25339,20724
26520,25133
30178,26603
25409,26603
30475,26603
25268,26603
26520,26603
25235,26603
22794,26603
22833,26603
25409,27557
30475,27557
25102,27557
25188,27557
25339,27557
26520,27557
25235,27557
22794,30178
30410,24645
25102,24645
25244,25409
25339,25355
30744,25409
25235,25409
25102,30410
25244,30475
25339,27594
26520,30475
25235,30475
25244,25102
25339,28134
25339,25244
30744,25289
25235,25289
22794,25289
22833,25289
25304,25339
25235,26515
22800,25304
22833,30755
22800,25235
32167,30787
30894,30830
31208,30830
31256,30830
31644,30828
32677,30830
23138,30830
30894,20090
31193,20090
23652,20090
23698,20090
27677,20085
22486,20085
22510,20085
32429,20085
32466,20085
32682,20090
32733,20090
33225,20085
26230,20085
