ID,MV_Power
21954.0,0.0
21672.0,0.0092
21930.0,0.0361
21943.0,0.027
27418.0,0.016
32856.0,0.0405
22013.0,0.0176
32888.0,0.0074
23402.0,0.0275
23412.0,0.0436
25945.0,0.032600000000000004
32963.0,0.0286
23389.0,0.0
23383.0,0.0327
23391.0,0.0415
23398.0,0.0155
24516.0,0.0365
24550.0,0.0564
24559.0,0.0275
33052.0,0.0155
23452.0,0.0
25906.0,0.0169
33139.0,0.0182
33153.0,0.0031
22610.0,0.0181
33168.0,0.031100000000000003
22353.0,0.026
22449.0,0.019399999999999997
33193.0,0.0207
33225.0,0.019399999999999997
26238.0,0.0
26246.0,0.0
26230.0,0.0412
26249.0,0.060700000000000004
33297.0,0.033600000000000005
33311.0,0.0207
24984.0,0.0
24987.0,0.0
24981.0,0.0598
24991.0,0.0504
26991.0,0.0156
29622.0,0.0223
22263.0,0.0
22677.0,0.0
22691.0,0.0
22667.0,0.047299999999999995
22749.0,0.044899999999999995
25780.0,0.044899999999999995
25804.0,0.0412
33473.0,0.019399999999999997
22160.0,0.0207
22589.0,0.0
22595.0,0.0
22237.0,0.0362
33546.0,0.0498
33576.0,0.0436
33600.0,0.0324
33614.0,0.0125
21017.0,0.0
26061.0,0.0
21001.0,0.0167
26059.0,0.0869
33674.0,0.033600000000000005
33725.0,0.0247
33742.0,0.0111
33751.0,0.0221
33762.0,0.0125
21038.0,0.0181
26197.0,0.037399999999999996
22133.0,0.0362
26087.0,0.013900000000000001
33839.0,0.0424
28313.0,0.026
33870.0,0.0167
20319.0,0.0
20666.0,0.052
27106.0,0.023100000000000002
29729.0,0.0218
29731.0,0.0206
26751.0,0.0
26736.0,0.0399
26772.0,0.0247
33910.0,0.0498
23251.0,0.0275
26648.0,0.0209
