,Cluster,Sub_cluster,Population,Load [kW],Grid_Length [km],Grid Cost [euro],Max length [km],Transformer_rated_power [kVA],Cost[euro]
0,40.0,2.0,68,23.88161469355813,0.6209222334908138,6209.222334908138,0.4009258472567873,50,1500
0,40.0,3.0,16,7.371271734212793,0.19301935200630538,1930.1935200630537,0.10816653826391967,50,1500
0,41.0,0.0,93,31.517444248674074,1.131297503101247,11312.97503101247,0.3603405066001683,50,1500
0,41.0,1.0,104,34.519402083603886,0.8583690277498673,8583.690277498674,0.30727922061357854,50,1500
0,42.0,0.0,135,43.39795546455129,1.8954646812306795,18954.646812306797,0.4732072187797104,50,1500
0,42.0,1.0,181,56.46102008448983,1.7385918056716831,17385.918056716833,0.47364581903874053,100,2100
0,42.0,2.0,93,31.517444248674074,1.202243510940432,12022.435109404318,0.508556667023804,50,1500
0,42.0,3.0,222,67.89712568066851,1.804404113667234,18044.041136672342,0.3629220565991664,100,2100
0,42.0,4.0,68,23.88161469355813,0.9028017306148962,9028.01730614896,0.5331659603830683,50,1500
0,42.0,5.0,78,26.961980684472586,0.8542112959690474,8542.112959690474,0.4529691373795458,50,1500
0,42.0,6.0,26,10.940614126951678,0.3674042056042813,3674.042056042813,0.29497779873308844,50,1500
0,42.0,7.0,62,22.325447766245905,0.8010735256247626,8010.735256247626,0.39594910338338507,50,1500
0,42.0,8.0,93,31.517444248674074,1.1700673421810888,11700.673421810889,0.34261609388658465,50,1500
0,42.0,9.0,135,43.39795546455129,1.4280088463832947,14280.088463832946,0.45079382377915816,50,1500
0,42.0,10.0,47,17.574785850404783,0.6831409626929031,6831.409626929032,0.32263068149354124,50,1500
0,42.0,11.0,135,43.39795546455129,1.1423077401776458,11423.07740177646,0.2950346992019216,50,1500
0,42.0,12.0,57,20.75682383636217,0.550185954899552,5501.85954899552,0.34533314115716635,50,1500
0,42.0,13.0,31,12.64553370620413,0.19970562748477141,1997.0562748477141,0.1148528137423857,50,1500
0,43.0,0.0,109,36.01147740356025,1.2247757460740314,12247.757460740313,0.45327865120346367,50,1500
0,43.0,1.0,93,31.517444248674074,0.7736011752458488,7736.011752458488,0.42486832980505135,50,1500
0,43.0,2.0,140,44.86252809609931,1.5333868511101172,15333.868511101173,0.4757498728420131,50,1500
0,43.0,3.0,31,12.64553370620413,0.5904612785690017,5904.612785690017,0.2746243646636795,50,1500
0,43.0,4.0,68,23.88161469355813,0.9036181385972348,9036.18138597235,0.2656810836168162,50,1500
0,43.0,5.0,47,17.574785850404783,0.48386970613475877,4838.697061347588,0.3019348530673794,50,1500
0,44.0,0.0,52,19.17400029193067,1.0650159216641781,10650.159216641781,0.5744093674489071,50,1500
0,44.0,1.0,191,59.33315638603507,1.5905711572146837,15905.711572146836,0.5882490194200942,100,2100
0,44.0,2.0,31,12.64553370620413,0.3286328002566938,3286.328002566938,0.18059294513511254,50,1500
0,45.0,0.0,150,47.7808155107278,1.538074144874423,15380.741448744231,0.6042861139036423,100,2100
0,45.0,1.0,93,31.517444248674074,1.3703753555574505,13703.753555574507,0.5194832400699623,50,1500
0,46.0,0.0,93,31.517444248674074,1.042323254119607,10423.23254119607,0.5639950968196322,50,1500
0,47.0,0.0,73,25.426737521390187,0.4395084461961865,4395.084461961866,0.22950844619618652,50,1500
