,cluster_ID,PS,Electrification
583,584,None(too far),off-grid system
584,585,Uape,national grid extension
585,586,None(too far),off-grid system
586,587,Uape,national grid extension
587,588,None(too far),off-grid system
588,589,None(too far),off-grid system
589,590,None(too far),off-grid system
590,591,None(too far),off-grid system
591,592,None(too far),off-grid system
592,593,None(too far),off-grid system
593,594,None(too far),off-grid system
594,595,Uape,national grid extension
595,596,None(too far),off-grid system
596,597,Uape,national grid extension
597,598,Uape,national grid extension
598,599,None(too far),off-grid system
599,600,None(too far),off-grid system
600,601,None(too far),off-grid system
601,602,None(too far),off-grid system
602,603,None(too far),off-grid system
603,604,None(too far),off-grid system
604,605,None(too far),off-grid system
605,606,Uape,national grid extension
606,607,None(too far),off-grid system
607,608,None(too far),off-grid system
608,609,None(too far),off-grid system
609,610,None(too far),off-grid system
610,611,Uape,national grid extension
611,612,None(too far),off-grid system
612,613,None(too far),off-grid system
613,614,None(too far),off-grid system
614,615,None(too far),off-grid system
615,616,None(too far),off-grid system
616,617,Uape,national grid extension
617,618,None(too far),off-grid system
618,619,None(too far),off-grid system
619,620,None(too far),off-grid system
620,621,Uape,national grid extension
621,622,None(too far),off-grid system
622,623,None(too far),off-grid system
623,624,Uape,national grid extension
624,625,None(too far),off-grid system
625,626,None(too far),off-grid system
626,627,None(too far),off-grid system
627,628,None(too far),off-grid system
628,629,None(too far),off-grid system
629,630,Uape,national grid extension
630,631,None(too far),off-grid system
631,632,None(too far),off-grid system
632,633,None(too far),off-grid system
633,634,None(too far),off-grid system
634,635,None(too far),off-grid system
635,636,None(too far),off-grid system
636,637,None(too far),off-grid system
637,638,None(too far),off-grid system
638,639,Uape,national grid extension
639,640,None(too far),off-grid system
640,641,None(too far),off-grid system
641,642,None(too far),off-grid system
642,643,None(too far),off-grid system
643,644,None(too far),off-grid system
644,645,None(too far),off-grid system
645,646,None(too far),off-grid system
646,647,None(too far),off-grid system
647,648,None(too far),off-grid system
648,649,None(too far),off-grid system
649,650,None(too far),off-grid system
650,651,None(too far),off-grid system
651,652,Uape,national grid extension
652,653,None(too far),off-grid system
653,654,None(too far),off-grid system
654,655,Uape,national grid extension
655,656,None(too far),off-grid system
656,657,None(too far),off-grid system
657,658,None(too far),off-grid system
658,659,Uape,national grid extension
659,660,Uape,national grid extension
660,661,None(too far),off-grid system
661,662,None(too far),off-grid system
