ID,dist_from_city,HDI,Trees_cover_areas,Shrubs_cover_areas,Grassland,Cropland,Vegetation_aquatic_or_regularly_flooded,Lichen_Mosses_/_Sparse_vegetation,Bare_areas,Built_up_areas,Snow_and/or_Ice,Open_water,elevation_average,average_wealth_index,roads_extension,rivers_extension,close_to_roads_buildings_perc,proximity_to_water,GHI,DNI,TEMP,PVOUT,wind_50
109,403,0.523296968637228,16.92,20.07,17.57,45.29,0.0,0.15,0.0,0.0,0.0,0.0,0,-0.12366666666666669,14.624360234443191,0.7864396744768625,0,2604,5.543489933013916,6.264796257019043,13.399999618530273,5.022375106811523,2.702772855758667
11,119,0.523296968637228,0.0,4.04,0.54,94.54,0.0,0.0,0.0,0.88,0.0,0.0,0,0.41983333333333334,3.500006040122772,0.0,0,150,5.673882961273193,6.581000328063965,14.399998664855957,5.1576666831970215,3.089637279510498
110,689,0.523296968637228,33.78,2.69,33.11,30.19,0.0,0.0,0.22,0.0,0.0,0.0,0,0.10850000000000001,4.976522465315013,0.43737427610938306,0,6141,5.445909023284912,6.0852274894714355,13.0600004196167,4.90339994430542,2.929197311401367
111,354,0.523296968637228,4.18,14.85,19.53,61.31,0.0,0.0,0.14,0.0,0.0,0.0,0,0.020749999999999998,15.952894130846133,0.167925816095538,0,1745,5.6110734939575195,6.446000576019287,13.863636016845703,5.093454360961914,3.0768654346466064
112,349,0.523296968637228,1.12,5.33,5.85,87.7,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.06849999999999999,2.764182854774388,0.0,0,2978,5.62771463394165,6.4664998054504395,14.333333015441895,5.0749993324279785,2.71855092048645
113,292,0.523296968637228,4.62,6.6,15.3,72.96,0.0,0.53,0.0,0.0,0.0,0.0,0,-0.049499999999999995,2.042506972665445,0.0,0,2070,5.64525032043457,6.5198750495910645,14.300000190734863,5.123000144958496,2.95202898979187
114,595,0.523296968637228,1.94,15.01,6.25,76.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0725,2.2761606837691337,0.39154307790261117,0,4948,5.5234375,6.285937786102295,13.360000610351562,4.988400459289551,2.7018492221832275
115,260,0.523296968637228,3.27,24.57,25.35,45.49,0.0,0.0,1.32,0.0,0.0,0.0,0,0.05983333333333333,2.5932275598070467,0.0,0,952,5.622000217437744,6.462937355041504,13.675000190734863,5.0954999923706055,3.2941582202911377
116,292,0.523296968637228,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.049499999999999995,0.0,0.0,0,2228,5.6570000648498535,6.5970001220703125,14.300000190734863,5.123000144958496,2.4581053256988525
117,419,0.523296968637228,5.99,12.89,18.88,62.23,0.0,0.0,0.0,0.0,0.0,0.0,0,0.020166666666666663,2.099333393608332,0.0,0,2771,5.5591535568237305,6.326384544372559,13.90000057220459,5.053333282470703,3.5207536220550537
118,1178,0.5187153371040449,6.08,26.28,41.12,26.52,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.19333333333333336,0.9003594432138566,0.0,0,674,5.414333343505859,6.135833263397217,11.850000381469727,4.958499908447266,3.947232484817505
119,1647,0.523296968637228,1.98,23.24,44.33,30.45,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.19866666666666669,4.290270778534568,0.01526692479328065,0,1162,5.550535678863525,6.456821918487549,9.816666603088379,5.1583333015441895,4.772339820861816
