ID,spam2017V2r1_SSA_P_ACOF_A.tif,spam2017V2r1_SSA_P_BANA_A.tif,spam2017V2r1_SSA_P_BARL_A.tif,spam2017V2r1_SSA_P_BEAN_A.tif,spam2017V2r1_SSA_P_CASS_A.tif,spam2017V2r1_SSA_P_CHIC_A.tif,spam2017V2r1_SSA_P_CNUT_A.tif,spam2017V2r1_SSA_P_COCO_A.tif,spam2017V2r1_SSA_P_COTT_A.tif,spam2017V2r1_SSA_P_COWP_A.tif,spam2017V2r1_SSA_P_GROU_A.tif,spam2017V2r1_SSA_P_LENT_A.tif,spam2017V2r1_SSA_P_MAIZ_A.tif,spam2017V2r1_SSA_P_OCER_A.tif,spam2017V2r1_SSA_P_OFIB_A.tif,spam2017V2r1_SSA_P_OILP_A.tif,spam2017V2r1_SSA_P_OOIL_A.tif,spam2017V2r1_SSA_P_OPUL_A.tif,spam2017V2r1_SSA_P_ORTS_A.tif,spam2017V2r1_SSA_P_PIGE_A.tif,spam2017V2r1_SSA_P_PLNT_A.tif,spam2017V2r1_SSA_P_PMIL_A.tif,spam2017V2r1_SSA_P_POTA_A.tif,spam2017V2r1_SSA_P_RAPE_A.tif,spam2017V2r1_SSA_P_RCOF_A.tif,spam2017V2r1_SSA_P_REST_A.tif,spam2017V2r1_SSA_P_RICE_A.tif,spam2017V2r1_SSA_P_SESA_A.tif,spam2017V2r1_SSA_P_SMIL_A.tif,spam2017V2r1_SSA_P_SORG_A.tif,spam2017V2r1_SSA_P_SOYB_A.tif,spam2017V2r1_SSA_P_SUGB_A.tif,spam2017V2r1_SSA_P_SUGC_A.tif,spam2017V2r1_SSA_P_SUNF_A.tif,spam2017V2r1_SSA_P_SWPO_A.tif,spam2017V2r1_SSA_P_TEAS_A.tif,spam2017V2r1_SSA_P_TEMF_A.tif,spam2017V2r1_SSA_P_TOBA_A.tif,spam2017V2r1_SSA_P_TROF_A.tif,spam2017V2r1_SSA_P_VEGE_A.tif,spam2017V2r1_SSA_P_WHEA_A.tif,spam2017V2r1_SSA_P_YAMS_A.tif
88,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,1.7000000476837158,0,0,0.0,0.0,0,0,0,0,310.6000061035156,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,23.399999618530273,0
89,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,1.7000000476837158,0,0,0.0,0.0,0,0,0,0,310.6000061035156,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,23.399999618530273,0
9,0,0.0,0.0,28.700000762939453,0,0,0,0,0,0,0,0,710.5,1.2000000476837158,0,0,0.0,0.0,0,0,0,0,719.2999877929688,0,0,0.0,0.0,0,0,58.400001525878906,0.0,0,0,0.0,0,0,49.900001525878906,0,0.0,0.0,24.700000762939453,0
90,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,1.7000000476837158,0,0,0.0,0.0,0,0,0,0,310.6000061035156,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,23.399999618530273,0
91,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,1.7000000476837158,0,0,0.0,0.0,0,0,0,0,310.6000061035156,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,23.399999618530273,0
92,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.800000011920929,0,0,0.0,0.0,0,0,0,0,53.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,13.5,0
93,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.800000011920929,0,0,0.0,0.0,0,0,0,0,53.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,13.5,0
94,0,0.0,0.0,28.700000762939453,0,0,0,0,0,0,0,0,710.5,1.2000000476837158,0,0,0.0,0.0,0,0,0,0,719.2999877929688,0,0,0.0,0.0,0,0,58.400001525878906,0.0,0,0,0.0,0,0,49.900001525878906,0,0.0,0.0,24.700000762939453,0
95,0,0.0,0.0,28.700000762939453,0,0,0,0,0,0,0,0,710.5,1.2999999523162842,0,0,0.0,0.0,0,0,0,0,719.2999877929688,0,0,0.0,0.0,0,0,58.400001525878906,0.0,0,0,0.0,0,0,49.900001525878906,0,0.0,0.0,17.549999237060547,0
96,0,0.0,0.0,28.700000762939453,0,0,0,0,0,0,0,0,710.5,1.2000000476837158,0,0,0.0,0.0,0,0,0,0,719.2999877929688,0,0,0.0,0.0,0,0,58.400001525878906,0.0,0,0,0.0,0,0,49.900001525878906,0,0.0,0.0,24.700000762939453,0
97,0,0.0,0.0,28.700000762939453,0,0,0,0,0,0,0,0,710.5,1.2000000476837158,0,0,0.0,0.0,0,0,0,0,719.2999877929688,0,0,0.0,0.0,0,0,58.400001525878906,0.0,0,0,0.0,0,0,49.900001525878906,0,0.0,0.0,24.700000762939453,0
98,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.800000011920929,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,10.399999618530273,0
99,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.800000011920929,0,0,0.0,0.0,0,0,0,0,53.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,13.5,0
