Darlo_ID,cluster_ID
3775,969
3779,970
3786,971
3787,972
3795,973
3799,974
380,100
3803,975
3806,976
3809,977
381,101
3811,978
3819,979
3832,980
3833,981
3836,982
3837,983
3838,984
3839,985
384,102
3841,986
3845,987
3846,988
3852,989
3853,990
3859,991
386,103
3863,992
3864,993
3868,994
3870,995
3871,996
3872,997
3880,998
3881,999
3883,1000
3891,1001
3897,1002
39,13
390,104
3901,1003
3904,1004
3905,1005
3906,1006
3908,1007
391,105
3921,1008
3923,1009
3924,1010
3928,1011
393,106
3930,1012
3934,1013
3935,1014
3939,1015
394,107
3940,1016
3949,1017
395,108
3952,1018
3953,1019
3954,1020
3955,1021
3957,1022
3959,1023
3960,1024
3966,1025
3969,1026
397,109
3972,1027
3976,1028
3978,1029
3985,1030
3992,1031
3997,1032
400,110
4006,1033
4007,1034
4008,1035
4012,1036
4015,1037
4016,1038
4017,1039
402,111
4022,1040
4023,1041
4027,1042
4036,1043
404,112
4041,1044
4045,1045
4047,1046
4048,1047
4049,1048
405,113
4063,1049
4065,1050
4068,1051
4069,1052
4072,1053
4083,1054
4084,1055
4094,1056
410,114
4116,1057
4118,1058
4119,1059
4126,1060
4128,1061
4133,1062
4135,1063
4142,1064
4146,1065
4148,1066
4149,1067
4155,1068
4166,1069
4167,1070
4170,1071
4171,1072
4177,1073
4196,1074
4198,1075
42,14
4209,1076
4219,1077
4220,1078
4228,1079
4231,1080
4233,1081
4237,1082
4238,1083
4242,1084
4243,1085
4246,1086
4253,1087
4257,1088
4259,1089
4260,1090
4261,1091
4266,1092
4267,1093
4268,1094
4269,1095
4270,1096
4280,1097
4302,1098
4304,1099
4305,1100
432,115
4329,1101
4333,1102
434,116
4341,1103
4353,1104
4355,1105
4357,1106
436,117
4362,1107
4363,1108
4371,1109
4372,1110
4373,1111
4374,1112
4375,1113
438,118
4388,1114
4390,1115
4398,1116
4405,1117
441,119
4412,1118
4413,1119
4414,1120
4428,1121
4429,1122
443,120
4435,1123
4438,1124
4439,1125
4443,1126
4445,1127
4448,1128
4456,1129
4459,1130
446,121
4465,1131
4469,1132
447,122
4473,1133
4476,1134
4477,1135
4478,1136
4480,1137
4482,1138
4483,1139
4484,1140
4488,1141
4489,1142
449,123
4497,1143
4498,1144
4499,1145
45,15
450,124
4501,1146
4506,1147
4508,1148
4509,1149
4510,1150
4511,1151
452,125
4534,1152
4538,1153
4539,1154
4540,1155
4544,1156
455,126
4555,1157
456,127
4566,1158
4570,1159
4572,1160
4573,1161
4578,1162
4582,1163
4584,1164
4602,1165
4607,1166
4611,1167
4613,1168
4624,1169
4625,1170
4628,1171
463,128
4633,1172
4634,1173
464,129
4640,1174
4641,1175
4643,1176
4646,1177
4647,1178
465,130
4652,1179
4659,1180
4663,1181
4664,1182
4666,1183
4668,1184
467,131
4675,1185
4677,1186
4678,1187
4680,1188
4681,1189
4692,1190
4693,1191
4694,1192
4703,1193
4709,1194
4710,1195
4715,1196
4731,1197
4733,1198
4736,1199
4744,1200
475,132
4755,1201
4757,1202
4761,1203
4762,1204
4764,1205
4767,1206
4772,1207
4774,1208
4777,1209
478,133
4789,1210
4791,1211
4797,1212
4798,1213
48,16
4801,1214
4806,1215
4808,1216
4809,1217
4812,1218
482,134
4821,1219
4822,1220
4825,1221
4836,1222
4837,1223
4838,1224
484,135
4842,1225
4849,1226
4857,1227
4858,1228
4860,1229
4861,1230
4862,1231
4863,1232
4864,1233
4865,1234
4866,1235
4867,1236
4868,1237
4872,1238
4883,1239
4886,1240
4899,1241
4901,1242
4903,1243
4910,1244
4912,1245
4913,1246
4915,1247
4916,1248
4917,1249
492,136
4924,1250
4931,1251
4933,1252
4934,1253
494,137
4940,1254
4946,1255
4948,1256
4957,1257
4958,1258
496,138
4961,1259
4962,1260
4966,1261
4970,1262
4974,1263
4977,1264
4978,1265
4979,1266
4984,1267
4985,1268
4991,1269
4994,1270
4996,1271
4998,1272
5004,1273
5008,1274
501,139
5012,1275
5013,1276
5014,1277
5015,1278
5020,1279
5028,1280
503,140
5034,1281
5036,1282
5037,1283
5039,1284
504,141
5040,1285
5043,1286
5049,1287
5050,1288
5054,1289
5057,1290
5063,1291
5065,1292
507,142
508,143
513,144
514,145
515,146
517,147
518,148
519,149
521,150
522,151
523,152
524,153
525,154
526,155
530,156
531,157
532,158
533,159
534,160
537,161
538,162
546,163
548,164
549,165
552,166
563,167
564,168
57,17
570,169
58,18
580,170
589,171
620,172
626,173
627,174
639,175
64,19
656,176
658,177
659,178
663,179
669,180
670,181
674,182
677,183
692,184
693,185
694,186
696,187
7,4
700,188
701,189
707,190
711,191
713,192
717,193
720,194
721,195
73,20
735,196
738,197
739,198
744,199
745,200
747,201
749,202
75,21
750,203
753,204
758,205
76,22
760,206
761,207
77,23
775,208
779,209
781,210
786,211
787,212
788,213
789,214
79,24
798,215
800,216
801,217
803,218
81,25
810,219
818,220
822,221
823,222
824,223
825,224
826,225
827,226
828,227
830,228
834,229
84,26
843,230
845,231
86,27
862,232
869,233
87,28
877,234
88,29
880,235
882,236
883,237
884,238
899,239
90,30
900,240
906,241
917,242
919,243
92,31
926,244
927,245
931,246
932,247
933,248
944,249
945,250
946,251
947,252
953,253
960,254
966,255
967,256
97,32
977,257
98,33
983,258
987,259
993,260
994,261
