id1,id2,Length,Loading,Cost,Geom
31389.0,28439.0,1784.986,0.842,21403.823939010526,"LINESTRING (-147169.6590617808 3181824.858823911, -147071.2004155965 3181995.672548381, -147247.439444169 3182394.239902148, -147328.5531588918 3182611.131881345, -147334.878785614 3182882.346252661, -147470.4462263485 3183022.807778466, -147502.6505151387 3183038.028444494, -147520.7997570029 3183074.502277822, -147510.497274063 3183104.938710442, -147490.3573535281 3183142.24635631, -147470.2824827964 3183165.185997952, -147455.791077304 3183191.60018688, -147444.5995548651 3183237.469702051, -147446.8340165482 3183268.519684028, -147453.7061653945 3183294.406446392, -147462.7733772191 3183318.225586556, -147503.2949878501 3183422.481286661)"
22486.0,22493.0,782.113,0.092,9343.696513048797,"LINESTRING (-141857.4657368646 3170809.154717959, -141887.2248547327 3170822.941906715, -141914.7442552909 3170897.933310264, -141917.1648820798 3170908.794326136, -141925.6193037626 3170971.214844909, -141892.3999759139 3171058.783640646, -141883.3314165971 3171109.749527381, -142122.5340848563 3171286.472801509, -142271.9317466459 3171257.104438113)"
22472.0,26230.0,774.393,0.242,10046.655377512994,"LINESTRING (-141671.5140081777 3170472.471713872, -141629.0782396641 3170311.024478504, -141703.3370634346 3170061.201421227, -141961.4796717112 3169944.02205285, -141958.5412290493 3169880.748425217)"
28439.0,31695.0,2538.735,0.255,25387.35121197973,"LINESTRING (-147503.2949878501 3183422.481286661, -147462.7733772191 3183318.225586556, -147453.7061653945 3183294.406446392, -147446.8340165482 3183268.519684028, -147444.5995548651 3183237.469702051, -147455.791077304 3183191.60018688, -147470.2824827964 3183165.185997952, -147490.3573535281 3183142.24635631, -147509.0309836541 3183126.573189538, -147558.8238469529 3183106.893208961, -147691.1048978601 3183107.962264173, -147913.0901846133 3182895.704264757, -147928.7856148871 3182894.573394667, -148116.1017280301 3182999.44619854, -148314.9309909735 3182963.518401224, -148588.6375860565 3183107.518727477, -148746.689978754 3182940.703742888, -148841.9599482306 3182966.558012034, -149080.4488826053 3182836.178027003, -149183.7568970628 3182845.518433024, -149383.6878625845 3182908.475975661, -149429.7978703352 3182931.708223745, -149423.5856515348 3182941.137548914)"
31668.0,31760.0,1101.225,0.519,18027.57059818566,"LINESTRING (-147639.6095654299 3183408.078475053, -147671.2004155965 3183495.672548381, -147671.2004155965 3183795.672548381, -147671.2004155965 3184095.672548381, -147671.2004155965 3184395.672548381, -147653.1872489444 3184502.270048948)"
31787.0,22929.0,930.887,0.453,13249.834814630562,"LINESTRING (-147803.1872489444 3184862.270048948, -147833.1872489444 3184862.270048948, -147671.2004155965 3184995.672548381, -147371.2004155965 3184995.672548381, -147206.7972148532 3185301.079259327, -147163.1929225626 3185307.223661153)"
22822.0,22833.0,1217.573,0.091,12616.394225004173,"LINESTRING (-142622.4678565601 3190107.65480128, -142625.6084322567 3190151.60878351, -142647.7520343926 3190211.207268802, -142662.749591461 3190250.861212828, -142678.6663489773 3190323.731893649, -142810.5812113945 3190606.143344099, -142838.7233278379 3190673.200099998, -142932.9836062131 3190854.990128644, -142812.4225632465 3190855.445216995, -142784.9833118861 3190907.382401224, -142769.4166992711 3190971.173618947, -142762.3645457875 3191037.264880821, -142759.8756006155 3191122.869940566)"
32274.0,27391.0,1166.311,0.054,13041.10070793951,"LINESTRING (-158753.7667096535 3202371.962356057, -158771.2004155965 3202395.672548381, -158867.7315664953 3202128.495578106, -158989.0372121357 3201839.537169872, -159019.1689127866 3201670.959745085, -159019.2982400919 3201617.628257724, -159006.3150789151 3201565.125293711, -158992.8045361297 3201519.744677049, -158976.8613665538 3201472.490002896, -158973.9551918111 3201439.108419637, -158999.0872726641 3201399.215953601, -159016.2182686086 3201383.562638361, -159037.6509410409 3201404.082158927, -159061.9928427185 3201421.60366759)"
32310.0,32351.0,1690.737,0.142,25134.043467314903,"LINESTRING (-151973.9507317203 3204563.21524229, -151973.9507317203 3204533.21524229, -152171.2004155965 3204495.672548381, -152471.2004155965 3204795.672548381, -152771.2004155965 3204795.672548381, -153071.2004155965 3204795.672548381, -153220.4907991757 3204643.388128477, -153250.4907991757 3204643.388128477, -153280.4907991757 3204643.388128477, -153310.4907991757 3204613.388128477, -153340.4907991757 3204613.388128477, -153370.4907991757 3204613.388128477, -153370.4907991757 3204583.388128477, -153370.4907991756 3204553.388128477)"
32292.0,32405.0,3571.531,0.132,55718.287028058876,"LINESTRING (-151823.9507317203 3204293.21524229, -151883.9507317203 3204293.21524229, -151943.9507317203 3204233.21524229, -152171.2004155965 3203895.672548381, -152171.2004155965 3203595.672548381, -151871.2004155965 3203295.672548381, -152171.2004155965 3202995.672548381, -152171.2004155965 3202695.672548381, -152171.2004155965 3202395.672548381, -151871.2004155965 3202095.672548381, -151571.2004155965 3202095.672548381, -151271.2004155965 3202095.672548381, -151042.8950889234 3202001.477014835)"
