ID,X,Y,Voltage,Power,Cluster,Distance
28678.0,-141131.47329667324,3179014.771156285,1.0,19.53,2.0,2.386
25195.0,-136719.23571631586,3188278.212801525,0.909,0.0,20.0,11.008
25188.0,-136742.98956092153,3188039.808739939,0.909,47.781,20.0,11.008
25244.0,-136694.5266337084,3188300.9154848214,0.909,40.457,20.0,11.008
25254.0,-137259.56667750346,3188678.40864146,0.909,27.531,20.0,11.009
25268.0,-137062.14932360026,3188406.7370172488,0.909,42.911,20.0,11.009
25289.0,-137630.35137522296,3189643.4042949146,0.909,25.427,20.0,11.01
25339.0,-132967.09136248968,3189873.9965409837,0.905,0.0,21.0,13.228
25333.0,-132839.6377678957,3190052.347890145,0.905,30.151,21.0,13.228
25346.0,-132973.95951240786,3190188.786820358,0.905,15.582,21.0,13.228
26571.0,-132818.98321948294,3189841.2913011992,0.905,14.304,21.0,13.228
26589.0,-132560.79875889403,3189978.8150029997,0.905,26.601,21.0,13.229
25304.0,-138306.276071625,3189802.4312910214,0.908,0.0,22.0,12.192
26515.0,-138459.90253085174,3189866.8259674287,0.908,25.427,22.0,12.193
26520.0,-138276.83011366669,3189555.6780325873,0.908,17.575,22.0,12.193
30744.0,-138040.39033759705,3190104.488044958,0.908,19.174,22.0,12.192
30755.0,-138460.39033759705,3190374.488044958,0.908,23.882,22.0,12.193
25235.0,-139328.1451103858,3191363.2368401624,0.908,20.757,23.0,13.981
30787.0,-139533.13985325312,3191555.630329436,0.908,69.318,23.0,13.981
30828.0,-150742.7051677799,3174009.531212002,0.973,29.789,24.0,5.894
30830.0,-150112.7051677799,3174009.531212002,0.973,18.01,24.0,5.893
20085.0,-143569.93116092446,3174266.2532801577,0.992,41.109,25.0,1.162
20090.0,-143859.51290171832,3174539.626795953,0.992,4.814,25.0,1.163
28184.0,-146434.48973877152,3218376.3782197274,0.999,20.96,26.0,0.351
30894.0,-144795.9220350301,3176699.443949064,0.99,18.01,27.0,4.376
24426.0,-138006.56938549288,3169398.492608598,0.93,0.0,28.0,13.708
25972.0,-139171.1240573373,3168814.205620516,0.93,0.0,28.0,13.711
21476.0,-137708.01794994966,3170272.725692233,0.93,0.0,28.0,13.707
21494.0,-138233.05864278175,3169269.184683645,0.93,0.0,28.0,13.709
23485.0,-138378.73438478645,3170564.848136112,0.93,13.888,28.0,13.706
23502.0,-138136.61433142837,3168653.470697746,0.93,36.117,28.0,13.71
23513.0,-138423.94464439538,3168760.226678843,0.93,20.689,28.0,13.709
23549.0,-137779.10704963465,3168324.9327316256,0.93,24.633,28.0,13.711
25975.0,-139235.58196222686,3168725.6272753137,0.93,61.868,28.0,13.711
28199.0,-137418.72637625027,3170812.109946193,0.93,13.888,28.0,13.708
28211.0,-138995.56837598293,3168764.712054684,0.93,54.608,28.0,13.71
28295.0,-137736.9253993908,3169931.838331925,0.93,12.477,28.0,13.708
28307.0,-137514.47726028552,3168994.893315596,0.93,24.633,28.0,13.709
31082.0,-139131.5289398742,3169297.407370408,0.93,31.064,28.0,13.711
31094.0,-137961.5289398742,3169387.407370408,0.93,19.355,28.0,13.708
31140.0,-137391.5289398742,3170347.407370408,0.93,27.224,28.0,13.708
31153.0,-138471.5289398742,3170437.407370408,0.93,28.509,28.0,13.706
31142.0,-137601.5289398742,3170377.407370408,0.93,0.0,28.0,13.707
31193.0,-143704.41774357515,3176100.4854503656,0.991,15.279,29.0,2.765
24695.0,-131363.07029436535,3179521.2880351967,0.929,0.0,3.0,9.498
24701.0,-131106.256613175,3179538.1389671257,0.929,0.0,3.0,9.498
24707.0,-130952.264524489,3179347.3090801523,0.929,0.0,3.0,9.499
25705.0,-131793.3902330219,3179430.885174967,0.929,0.0,3.0,9.498
20335.0,-131941.46608762388,3179345.6342612887,0.929,17.329,3.0,9.497
25704.0,-131824.40697436486,3179417.079028045,0.929,21.787,3.0,9.498
25719.0,-131653.70361979207,3179747.5915739923,0.929,23.001,3.0,9.498
28689.0,-130500.16535525613,3178990.2403154927,0.929,14.304,3.0,9.499
28701.0,-130980.16535525613,3179260.2403154927,0.929,15.582,3.0,9.499
28745.0,-131370.16535525612,3179530.2403154927,0.929,31.325,3.0,9.498
28773.0,-131070.16535525613,3179650.2403154927,0.929,41.732,3.0,9.499
23653.0,-146948.10880450744,3177170.982944562,0.988,0.0,30.0,6.592
23652.0,-146852.90805502704,3177103.73829129,0.988,16.652,30.0,6.591
23692.0,-146675.20368535738,3177613.0530435387,0.988,49.732,30.0,6.592
31208.0,-147080.98032456826,3177291.3049168037,0.988,9.569,30.0,6.592
23664.0,-147700.26086387268,3177518.619832169,0.988,0.0,31.0,6.793
23698.0,-147053.13187091626,3177437.3856336717,0.988,4.814,31.0,6.792
31256.0,-148012.67388238962,3177613.07577988,0.988,22.012,31.0,6.793
31266.0,-147562.67388238962,3177733.07577988,0.988,29.789,31.0,6.793
31283.0,-148162.67388238962,3177943.07577988,0.988,11.039,31.0,6.794
31290.0,-147172.67388238962,3178213.07577988,0.988,9.569,31.0,6.794
27677.0,-140020.01399278227,3170840.319010152,0.935,39.866,32.0,12.176
31304.0,-139278.05159610286,3170316.857518088,0.935,29.789,32.0,12.177
31317.0,-139758.05159610286,3170496.857518088,0.935,18.01,32.0,12.176
21131.0,-147160.96134033668,3181616.1654532086,0.981,0.0,33.0,4.849
31354.0,-146839.65906178075,3181404.8588239118,0.981,14.315,33.0,4.85
31379.0,-146539.65906178075,3181704.8588239118,0.981,19.174,33.0,4.848
31384.0,-147049.65906178075,3181764.8588239118,0.981,31.517,33.0,4.849
31389.0,-147169.65906178075,3181824.8588239118,0.981,23.882,33.0,4.849
22548.0,-159152.76211287244,3170868.2498721974,0.91,27.224,34.0,33.223
22555.0,-159038.58168949382,3170196.122484754,0.91,36.117,34.0,33.222
22387.0,-141433.07362314855,3170929.8098423993,0.936,27.224,35.0,12.527
22472.0,-141671.5140081777,3170472.4717138717,0.936,46.051,35.0,12.529
22486.0,-141857.4657368646,3170809.154717958,0.936,36.117,35.0,12.528
22510.0,-142739.26227589947,3170716.399022244,0.936,15.279,36.0,14.024
31525.0,-142855.69497437633,3170415.408852478,0.936,25.932,36.0,14.024
23611.0,-151416.03208965182,3182788.8215672304,0.972,56.461,37.0,9.729
31559.0,-150399.61179366292,3182627.56382053,0.972,34.519,37.0,9.727
31610.0,-151569.61179366292,3182927.56382053,0.972,56.461,37.0,9.729
31644.0,-154642.14652898556,3170601.695818422,0.928,28.509,38.0,19.965
28439.0,-147503.29498785007,3183422.4812866612,0.975,33.022,39.0,6.634
31668.0,-147639.60956542994,3183408.078475053,0.975,34.519,39.0,6.635
23232.0,-133650.67646645175,3181125.8878633794,0.916,0.0,4.0,12.395
26857.0,-133562.24522369806,3181498.4389031082,0.916,0.0,4.0,12.394
23237.0,-133697.54815648255,3181391.2018364086,0.916,20.876,4.0,12.394
24912.0,-133685.55295592314,3181146.775959831,0.916,22.213,4.0,12.395
26385.0,-133588.30751497284,3180633.880046288,0.916,85.37,4.0,12.395
28886.0,-133964.16552731086,3181358.3427871,0.916,30.067,4.0,12.395
28921.0,-133244.16552731086,3181868.3427871,0.916,20.876,4.0,12.393
19916.0,-149756.20854122553,3183064.639291692,0.972,0.0,40.0,9.174
19910.0,-150072.13046834798,3183004.360711636,0.972,46.323,40.0,9.174
