id1,id2,Length,Loading,Cost,Geom
30178.0,27557.0,0.788,1.726,7881.585921348755,"MULTILINESTRING ((-136408.0739929304 3188105.306104713, -136288.0739929304 3188075.306104713), (-136408.0739929304 3188105.306104713, -136438.0739929304 3187985.306104713), (-136202.3265830554 3188026.014481685, -136190.5018143922 3188035.931308488), (-136202.3265830554 3188026.014481685, -136225.2985513009 3188051.450554442), (-136225.2985513009 3188051.450554442, -136228.0739929304 3188045.306104713), (-136438.0739929304 3187775.306104713, -136438.0739929304 3187805.306104713), (-136438.0739929304 3187805.306104713, -136408.0739929304 3187805.306104713), (-136408.0739929304 3187805.306104713, -136408.0739929304 3187835.306104713), (-136408.0739929304 3187835.306104713, -136438.0739929304 3187925.306104713), (-136181.0828299626 3188069.690360924, -136185.44644999 3188123.921716537), (-136181.0828299626 3188069.690360924, -136190.5018143922 3188035.931308488), (-136438.0739929304 3187925.306104713, -136438.0739929304 3187985.306104713), (-136258.0739929304 3188015.306104713, -136228.0739929304 3188015.306104713), (-136258.0739929304 3188015.306104713, -136258.0739929304 3188045.306104713), (-136228.0739929304 3188015.306104713, -136228.0739929304 3188045.306104713), (-136288.0739929304 3188045.306104713, -136288.0739929304 3188075.306104713), (-136288.0739929304 3188045.306104713, -136258.0739929304 3188045.306104713))"
24639.0,30271.0,0.199,0.044,1988.827859349297,"MULTILINESTRING ((-133095.2038755976 3188243.689628742, -133095.2038755976 3188273.689628742), (-133095.2038755976 3188243.689628742, -133065.2038755976 3188243.689628742), (-133065.2038755976 3188243.689628742, -133035.2038755976 3188273.689628742), (-133095.2038755976 3188273.689628742, -133125.2038755976 3188273.689628742), (-133129.6066401489 3188308.411968725, -133125.2038755976 3188303.689628742), (-133035.2038755976 3188273.689628742, -133005.2038755976 3188273.689628742), (-133125.2038755976 3188303.689628742, -133125.2038755976 3188273.689628742))"
27585.0,27594.0,0.384,0.8,3844.124891804001,"MULTILINESTRING ((-134580.7664184608 3187994.122875885, -134545.8020914414 3187982.775261865), (-134545.8020914414 3187982.775261865, -134512.890943082 3187974.577938796), (-134512.890943082 3187974.577938796, -134468.5100164733 3187973.598223109), (-134468.5100164733 3187973.598223109, -134434.4284530239 3187979.61155796), (-134434.4284530239 3187979.61155796, -134381.1957341583 3187993.374515158), (-134381.1957341583 3187993.374515158, -134339.3954386552 3187996.394125768), (-134339.3954386552 3187996.394125768, -134293.2075392752 3188006.43632215), (-134293.2075392752 3188006.43632215, -134260.8676973719 3187991.051189398), (-134260.8676973719 3187991.051189398, -134228.9020662298 3187950.892159823))"
27594.0,30410.0,0.523,0.781,5228.232659943031,"MULTILINESTRING ((-134228.9020662298 3187950.892159823, -134124.2477669511 3187675.414114574), (-134124.2477669511 3187675.414114574, -134140.130662995 3187577.814773596), (-134140.130662995 3187577.814773596, -134128.8991519588 3187521.277005143), (-134128.8991519588 3187521.277005143, -134118.4111141553 3187479.836546958), (-134118.4111141553 3187479.836546958, -134138.9663626322 3187486.510851925))"
30442.0,30419.0,0.297,0.024,2965.9048552118024,"MULTILINESTRING ((-134768.9663626322 3187576.510851925, -134738.9663626322 3187636.510851925), (-134738.9663626322 3187636.510851925, -134738.9663626322 3187666.510851925), (-134738.9663626322 3187666.510851925, -134678.9663626322 3187666.510851925), (-134678.9663626322 3187666.510851925, -134678.9663626322 3187696.510851925), (-134678.9663626322 3187696.510851925, -134648.9663626322 3187726.510851925), (-134648.9663626322 3187726.510851925, -134588.9663626322 3187756.510851925))"
25188.0,25195.0,0.241,0.663,2411.02223937578,"MULTILINESTRING ((-136742.9895609215 3188039.808739939, -136731.9238038348 3188089.71232032), (-136719.2357163158 3188278.212801525, -136715.6263514624 3188228.147468903), (-136715.6263514624 3188228.147468903, -136720.3034330411 3188187.547916088), (-136720.3034330411 3188187.547916088, -136725.9785512058 3188150.097632281), (-136725.9785512058 3188150.097632281, -136731.9238038348 3188089.71232032))"
25195.0,25244.0,0.035,0.04,346.21029084168,"MULTILINESTRING ((-136694.5266337084 3188300.915484821, -136719.2357163158 3188278.212801525))"
25339.0,26571.0,0.157,0.014,1571.8878161945502,"MULTILINESTRING ((-132818.983219483 3189841.291301199, -132864.7803676563 3189866.305639723), (-132864.7803676563 3189866.305639723, -132901.5177908588 3189876.748556121), (-132901.5177908588 3189876.748556121, -132931.140835405 3189880.092347278), (-132931.140835405 3189880.092347278, -132967.0913624897 3189873.996540984))"
31142.0,28199.0,0.488,0.41,4876.937296740981,"MULTILINESTRING ((-137418.7263762503 3170812.109946193, -137444.3355425204 3170771.690841938), (-137444.3355425204 3170771.690841938, -137466.9316065967 3170713.076840278), (-137466.9316065967 3170713.076840278, -137492.3702085076 3170673.886409616), (-137492.3702085076 3170673.886409616, -137512.8358193554 3170650.912324533), (-137512.8358193554 3170650.912324533, -137512.0403559462 3170604.650557267), (-137601.5289398742 3170377.407370409, -137604.7261757874 3170394.324118733), (-137512.0403559462 3170604.650557267, -137537.3696169844 3170573.951096682), (-137537.3696169844 3170573.951096682, -137584.0566294118 3170448.692315866), (-137604.7261757874 3170394.324118733, -137584.0566294118 3170448.692315866))"
21476.0,31142.0,0.183,0.437,1829.8425482019995,"MULTILINESTRING ((-137601.5289398742 3170347.407370409, -137613.6296552191 3170358.298413712), (-137601.5289398742 3170347.407370409, -137601.5289398742 3170377.407370409), (-137628.4377107342 3170322.497453597, -137613.6296552191 3170358.298413712), (-137628.4377107342 3170322.497453597, -137645.8470903967 3170298.345680304), (-137645.8470903967 3170298.345680304, -137687.9332928862 3170277.389248364), (-137708.0179499496 3170272.725692234, -137687.9332928862 3170277.389248364))"
