Unnamed: 0,X,Y,ID,Weight,Cluster,MV_Power,Population,Substation,geometry
28482.0,-136438.07399293044,3187775.306104713,30178.0,3.0,16.0,26.961980684472586,78.0,1.0,POINT (-136438.0739929304 3187775.306104713)
24562.0,-133129.60664014894,3188308.411968725,24639.0,1.0,17.0,0.0,0.0,1.0,POINT (-133129.6066401489 3188308.411968725)
25272.0,-133044.4639183296,3188972.378989672,25367.0,1.0,17.0,0.0,0.0,1.0,POINT (-133044.4639183296 3188972.378989672)
28483.0,-133070.6148503791,3187633.0037477487,24645.0,3.0,17.0,34.51940208360389,104.0,1.0,POINT (-133070.6148503791 3187633.003747749)
28484.0,-133040.3510008774,3189514.260131614,25355.0,3.0,17.0,23.000641414376076,65.0,1.0,POINT (-133040.3510008774 3189514.260131614)
28485.0,-133238.14467076823,3189074.6450503673,25377.0,3.0,17.0,38.95119509280245,119.0,1.0,POINT (-133238.1446707682 3189074.645050367)
28486.0,-133925.3343523339,3189213.574755087,25393.0,3.0,17.0,75.2883556760668,249.0,1.0,POINT (-133925.3343523339 3189213.574755087)
28487.0,-134595.03971597727,3189638.087562467,25409.0,3.0,17.0,33.02154533548916,99.0,1.0,POINT (-134595.0397159773 3189638.087562467)
28488.0,-133213.62481209752,3188655.4062084444,25427.0,3.0,17.0,13.945447893305404,35.0,1.0,POINT (-133213.6248120975 3188655.406208444)
28489.0,-133005.20387559762,3188273.6896287417,30271.0,3.0,17.0,43.88341276860056,136.0,1.0,POINT (-133005.2038755976 3188273.689628742)
27449.0,-134580.76641846081,3187994.122875885,27585.0,1.0,18.0,0.0,0.0,1.0,POINT (-134580.7664184608 3187994.122875885)
28490.0,-134228.90206622976,3187950.892159824,27594.0,3.0,18.0,19.17400029193067,52.0,1.0,POINT (-134228.9020662298 3187950.892159824)
28491.0,-134138.9663626322,3187486.510851925,30410.0,3.0,18.0,30.00657062900247,88.0,1.0,POINT (-134138.9663626322 3187486.510851925)
28492.0,-134768.9663626322,3187576.510851925,30419.0,3.0,18.0,23.88161469355813,68.0,1.0,POINT (-134768.9663626322 3187576.510851925)
28493.0,-134498.9663626322,3187696.510851925,30432.0,3.0,18.0,30.00657062900247,88.0,1.0,POINT (-134498.9663626322 3187696.510851925)
28494.0,-135188.9663626322,3187936.510851925,30475.0,3.0,18.0,28.48831733241992,83.0,1.0,POINT (-135188.9663626322 3187936.510851925)
28495.0,-134588.9663626322,3187936.510851925,30478.0,3.0,18.0,50.68584882807868,160.0,1.0,POINT (-134588.9663626322 3187936.510851925)
1877.0,-134588.9663626322,3187756.510851925,30442.0,2.0,18.0,0.0,0.0,1.0,POINT (-134588.9663626322 3187756.510851925)
28496.0,-132270.68477925562,3187651.3364942977,25102.0,3.0,19.0,16.845282300833766,45.0,1.0,POINT (-132270.6847792556 3187651.336494298)
28497.0,-132160.65762126833,3187931.1792675904,28134.0,3.0,19.0,32.49499803409727,97.0,1.0,POINT (-132160.6576212683 3187931.17926759)
28417.0,-141131.47329667324,3179014.771156285,28678.0,3.0,2.0,19.529791507921434,53.0,1.0,POINT (-141131.4732966732 3179014.771156285)
25108.0,-136719.23571631586,3188278.212801525,25195.0,1.0,20.0,0.0,0.0,1.0,POINT (-136719.2357163159 3188278.212801525)
28498.0,-136742.98956092153,3188039.808739939,25188.0,3.0,20.0,47.7808155107278,150.0,1.0,POINT (-136742.9895609215 3188039.808739939)
28499.0,-136694.5266337084,3188300.9154848214,25244.0,3.0,20.0,40.456876008048894,124.0,1.0,POINT (-136694.5266337084 3188300.915484821)
28500.0,-137259.56667750346,3188678.40864146,25254.0,3.0,20.0,27.53068340061905,80.0,1.0,POINT (-137259.5666775035 3188678.40864146)
28501.0,-137062.14932360026,3188406.7370172488,25268.0,3.0,20.0,42.91079716407749,133.0,1.0,POINT (-137062.1493236003 3188406.737017249)
28502.0,-137630.35137522296,3189643.4042949146,25289.0,3.0,20.0,25.42673752139019,73.0,1.0,POINT (-137630.351375223 3189643.404294915)
25246.0,-132967.09136248968,3189873.9965409837,25339.0,1.0,21.0,0.0,0.0,1.0,POINT (-132967.0913624897 3189873.996540984)
28503.0,-132839.6377678957,3190052.347890145,25333.0,3.0,21.0,30.150889526112035,89.0,1.0,POINT (-132839.6377678957 3190052.347890145)
28504.0,-132973.95951240786,3190188.786820358,25346.0,3.0,21.0,15.582013462782195,41.0,1.0,POINT (-132973.9595124079 3190188.786820358)
28505.0,-132818.98321948294,3189841.2913011992,26571.0,3.0,21.0,14.304295885466793,37.0,1.0,POINT (-132818.9832194829 3189841.291301199)
28506.0,-132560.79875889403,3189978.815003,26589.0,3.0,21.0,26.600709403257927,77.0,1.0,POINT (-132560.798758894 3189978.815003)
25212.0,-138306.276071625,3189802.4312910214,25304.0,1.0,22.0,0.0,0.0,1.0,POINT (-138306.276071625 3189802.431291021)
28507.0,-138459.90253085174,3189866.8259674287,26515.0,3.0,22.0,25.42673752139019,73.0,1.0,POINT (-138459.9025308517 3189866.825967429)
28508.0,-138276.83011366669,3189555.6780325873,26520.0,3.0,22.0,17.574785850404783,47.0,1.0,POINT (-138276.8301136667 3189555.678032587)
28509.0,-138040.39033759705,3190104.488044958,30744.0,3.0,22.0,19.17400029193067,52.0,1.0,POINT (-138040.3903375971 3190104.488044958)
28510.0,-138460.39033759705,3190374.488044958,30755.0,3.0,22.0,23.88161469355813,68.0,1.0,POINT (-138460.3903375971 3190374.488044958)
28511.0,-139328.1451103858,3191363.2368401624,25235.0,3.0,23.0,20.75682383636217,57.0,1.0,POINT (-139328.1451103858 3191363.236840162)
28512.0,-139533.13985325312,3191555.630329436,30787.0,3.0,23.0,69.31763009806548,227.0,1.0,POINT (-139533.1398532531 3191555.630329436)
