Conn_param,Cost,ID1,ID2,Length,geometry
29.0,3072.792206135786,30442.0,30478.0,0.307279220613579,"LINESTRING (-134588.9663626322 3187756.510851925, -134588.9663626322 3187936.510851925)"
30.0,588.038704265399,30478.0,27585.0,0.05880387042654,"LINESTRING (-134588.9663626322 3187936.510851925, -134580.7664184608 3187994.122875885)"
31.0,3844.1248918040005,27585.0,27594.0,0.3844124891804,"LINESTRING (-134580.7664184608 3187994.122875885, -134228.9020662298 3187950.892159823)"
32.0,5228.232659943031,27594.0,30410.0,0.5228232659943031,"LINESTRING (-134228.9020662298 3187950.892159823, -134138.9663626322 3187486.510851925)"
33.0,6967.049075124278,27585.0,30475.0,0.696704907512428,"LINESTRING (-134580.7664184608 3187994.122875885, -135188.9663626322 3187936.510851925)"
34.0,2965.9048552118024,30442.0,30419.0,0.296590485521181,"LINESTRING (-134588.9663626322 3187756.510851925, -134768.9663626322 3187576.510851925)"
35.0,9503.534242253658,28134.0,25102.0,0.9503534242253662,"LINESTRING (-132160.6576212683 3187931.17926759, -132270.6847792556 3187651.336494298)"
36.0,2411.02223937578,25188.0,25195.0,0.241102223937578,"LINESTRING (-136742.9895609215 3188039.808739939, -136719.2357163159 3188278.212801525)"
37.0,346.21029084168,25195.0,25244.0,0.034621029084168,"LINESTRING (-136719.2357163159 3188278.212801525, -136694.5266337084 3188300.915484821)"
38.0,12633.075510478448,25289.0,25254.0,1.2633075510478438,"LINESTRING (-137630.351375223 3189643.404294915, -137259.5666775035 3188678.40864146)"
39.0,5359.35308785579,25254.0,25268.0,0.535935308785579,"LINESTRING (-137259.5666775035 3188678.40864146, -137062.1493236003 3188406.737017249)"
40.0,8015.64563157313,25268.0,25195.0,0.8015645631573131,"LINESTRING (-137062.1493236003 3188406.737017249, -136719.2357163159 3188278.212801525)"
41.0,3892.23372125709,25346.0,25339.0,0.389223372125709,"LINESTRING (-132973.9595124079 3190188.786820358, -132967.0913624897 3189873.996540984)"
42.0,1571.8878161945502,25339.0,26571.0,0.15718878161945501,"LINESTRING (-132967.0913624897 3189873.996540984, -132818.9832194829 3189841.291301199)"
43.0,3692.5969211345605,26589.0,25333.0,0.369259692113456,"LINESTRING (-132560.798758894 3189978.815003, -132839.6377678957 3190052.347890145)"
44.0,2346.7308120327307,25333.0,25339.0,0.234673081203273,"LINESTRING (-132839.6377678957 3190052.347890145, -132967.0913624897 3189873.996540984)"
45.0,8550.911409328177,30755.0,26515.0,0.855091140932818,"LINESTRING (-138460.3903375971 3190374.488044959, -138459.9025308517 3189866.825967429)"
46.0,2461.69570482007,26515.0,25304.0,0.246169570482007,"LINESTRING (-138459.9025308517 3189866.825967429, -138306.276071625 3189802.431291021)"
47.0,4611.7662673675,25304.0,30744.0,0.46117662673675,"LINESTRING (-138306.276071625 3189802.431291021, -138040.3903375971 3190104.488044959)"
48.0,3379.5326138833384,26520.0,25304.0,0.337953261388334,"LINESTRING (-138276.8301136667 3189555.678032587, -138306.276071625 3189802.431291021)"
49.0,3690.1786591113623,30787.0,25235.0,0.369017865911136,"LINESTRING (-139533.1398532531 3191555.630329436, -139328.1451103858 3191363.236840162)"
50.0,7987.215991188836,30828.0,30830.0,0.7987215991188839,"LINESTRING (-150742.7051677799 3174009.531212002, -150112.7051677799 3174009.531212002)"
51.0,5170.03865129108,20090.0,20085.0,0.517003865129108,"LINESTRING (-143859.5129017183 3174539.626795953, -143569.9311609245 3174266.253280158)"
52.0,2965.904855211802,31140.0,31142.0,0.296590485521181,"LINESTRING (-137391.5289398742 3170347.407370409, -137601.5289398742 3170377.407370409)"
53.0,4876.937296740981,31142.0,28199.0,0.48769372967409796,"LINESTRING (-137601.5289398742 3170377.407370409, -137418.7263762503 3170812.109946193)"
54.0,1829.8425482019995,21476.0,31142.0,0.1829842548202,"LINESTRING (-137708.0179499497 3170272.725692234, -137601.5289398742 3170377.407370409)"
55.0,6427.67585122737,21476.0,28295.0,0.6427675851227379,"LINESTRING (-137708.0179499497 3170272.725692234, -137736.9253993908 3169931.838331925)"
56.0,6095.686754988908,28295.0,24426.0,0.609568675498891,"LINESTRING (-137736.9253993908 3169931.838331925, -138006.5693854929 3169398.492608598)"
57.0,3122.45358004077,24426.0,21494.0,0.312245358004077,"LINESTRING (-138006.5693854929 3169398.492608598, -138233.0586427817 3169269.184683645)"
58.0,15797.422026265702,21494.0,28211.0,1.57974220262657,"LINESTRING (-138233.0586427817 3169269.184683645, -138995.5683759829 3168764.712054684)"
59.0,3914.72324409876,28211.0,25972.0,0.3914723244098759,"LINESTRING (-138995.5683759829 3168764.712054684, -139171.1240573373 3168814.205620516)"
60.0,1120.98893665974,25972.0,25975.0,0.112098893665974,"LINESTRING (-139171.1240573373 3168814.205620516, -139235.5819622269 3168725.627275314)"
61.0,7494.03587340844,21476.0,23485.0,0.749403587340844,"LINESTRING (-137708.0179499497 3170272.725692234, -138378.7343847865 3170564.848136112)"
62.0,5845.505254893724,23485.0,31153.0,0.584550525489372,"LINESTRING (-138378.7343847865 3170564.848136112, -138471.5289398742 3170437.407370409)"
63.0,8268.058900669259,24426.0,28307.0,0.8268058900669261,"LINESTRING (-138006.5693854929 3169398.492608598, -137514.4772602855 3168994.893315596)"
64.0,463.84525946004334,24426.0,31094.0,0.046384525946004,"LINESTRING (-138006.5693854929 3169398.492608598, -137961.5289398742 3169387.407370409)"
65.0,6704.2000485222325,31082.0,25972.0,0.670420004852224,"LINESTRING (-139131.5289398742 3169297.407370409, -139171.1240573373 3168814.205620516)"
