ID1,ID2,Length,Cost,Cluster,geometry,Conn_param
26910,26909,0.040202318580607,402.02318580607,1,"LINESTRING (-132230.5879349997 3180818.000181665, -132268.938385219 3180828.391336655)",0
26912,26913,0.03879834855827,387.98348558270004,1,"LINESTRING (-132185.6211646498 3180521.141975344, -132206.1434352905 3180544.146220311)",2
20253,20252,0.046763920240311,467.63920240311,1,"LINESTRING (-132395.1362066054 3181513.451740876, -132401.8163799892 3181467.319993522)",1
20256,20257,0.032832955322971,328.32955322971003,1,"LINESTRING (-132485.7295051495 3181551.067475341, -132502.8836453742 3181578.767910559)",1
26913,26902,0.036649164169441,366.49164169441,1,"LINESTRING (-132206.1434352905 3180544.146220311, -132224.2327852979 3180575.736921043)",2
26902,26903,0.074867992236998,748.67992236998,1,"LINESTRING (-132224.2327852979 3180575.736921043, -132299.0252456029 3180574.568862582)",2
26903,26904,0.071216929318708,712.16929318708,1,"LINESTRING (-132299.0252456029 3180574.568862582, -132302.5962627218 3180645.539535976)",2
26908,26909,0.042722912948862,427.22912948862,1,"LINESTRING (-132297.0136989317 3180806.615370059, -132268.938385219 3180828.391336655)",0
23290,23291,0.050685080245057,506.85080245057003,1,"LINESTRING (-132223.2980273156 3180016.123988475, -132200.8354194218 3180061.522254533)",2
23291,23292,0.054502306193779,545.02306193779,1,"LINESTRING (-132200.8354194218 3180061.522254533, -132191.8411126198 3180115.277289884)",2
23292,23293,0.048150044879989,481.50044879989,1,"LINESTRING (-132191.8411126198 3180115.277289884, -132195.4880769734 3180163.289022543)",2
23293,23294,0.046202949672659,462.02949672658997,1,"LINESTRING (-132195.4880769734 3180163.289022543, -132209.6656941049 3180207.262966316)",2
23294,23295,0.062878768208946,628.78768208946,1,"LINESTRING (-132209.6656941049 3180207.262966316, -132220.003247137 3180269.286143345)",2
29777,29778,0.03,300.0,10,"LINESTRING (-136610.4173348677 3184204.928122003, -136580.4173348677 3184204.928122003)",3
29778,20468,0.022883914232892,228.83914232891908,10,"LINESTRING (-136580.4173348677 3184204.928122003, -136565.7420231211 3184222.48684507)",3
29785,29786,0.03,300.0,10,"LINESTRING (-136550.4173348677 3184414.928122003, -136520.4173348677 3184414.928122003)",4
29785,29791,0.042426406871193,424.26406871192853,10,"LINESTRING (-136550.4173348677 3184414.928122003, -136580.4173348677 3184444.928122003)",4
29786,20463,0.037414732130605,374.14732130604756,10,"LINESTRING (-136520.4173348677 3184414.928122003, -136483.8976991274 3184406.793112119)",4
29789,29790,0.03,300.0,10,"LINESTRING (-136670.4173348677 3184444.928122003, -136640.4173348677 3184444.928122003)",4
29789,29795,0.03,300.0,10,"LINESTRING (-136670.4173348677 3184444.928122003, -136670.4173348677 3184474.928122003)",4
29790,29791,0.06,600.0,10,"LINESTRING (-136640.4173348677 3184444.928122003, -136580.4173348677 3184444.928122003)",4
29794,24626,0.012846375260045,128.4637526004512,10,"LINESTRING (-136700.4173348677 3184474.928122003, -136713.259501831 3184474.599328742)",4
