ID,dist_from_city,HDI,Trees_cover_areas,Shrubs_cover_areas,Grassland,Cropland,Vegetation_aquatic_or_regularly_flooded,Lichen_Mosses_/_Sparse_vegetation,Bare_areas,Built_up_areas,Snow_and/or_Ice,Open_water,elevation_average,average_wealth_index,roads_extension,rivers_extension,close_to_roads_buildings_perc,proximity_to_water,GHI,DNI,TEMP,PVOUT,wind_50
450,216,0.418559250822609,20.26,0.0,61.1,18.64,0.0,0.0,0.0,0.0,0.0,0.0,6.621212121212121,-0.1485,0.0,0.0,0,491,5.5333571434021,4.998785972595215,25.100000381469727,4.544000148773193,4.320992469787598
4501,88,0.418559250822609,1.17,3.41,27.95,67.46,0.0,0.0,0.0,0.0,0.0,0.0,256.6892610313663,-0.5098333333333334,1.9989520554002957,0.0,0,16500,5.501250267028809,4.813812255859375,22.5625,4.523750305175781,5.535991668701172
4506,73,0.418559250822609,9.41,4.48,59.35,26.76,0.0,0.0,0.0,0.0,0.0,0.0,495.3030303030303,-0.2926,0.9176679470484869,0.0,0,8354,5.415272235870361,4.625999927520752,22.549999237060547,4.440999984741211,4.468712329864502
4508,75,0.418559250822609,3.07,1.59,24.93,70.4,0.0,0.0,0.0,0.0,0.0,0.0,415.2983682983683,-0.4431666666666667,2.111762446558852,0.0,0,12819,5.456090927124023,4.710242748260498,22.78333282470703,4.479000091552734,4.847373962402344
4509,83,0.418559250822609,0.37,2.29,22.86,74.48,0.0,0.0,0.0,0.0,0.0,0.0,430.5036075036075,-0.5183333333333333,1.1955894067791235,0.0,0,14655,5.479899883270264,4.761449337005615,22.71999740600586,4.503600120544434,5.215592861175537
4510,79,0.418559250822609,0.0,6.94,0.72,92.34,0.0,0.0,0.0,0.0,0.0,0.0,284.8187134502924,-0.35525,0.0,0.0,0,45019,5.321105003356934,4.456737041473389,21.0,4.373000144958496,4.658787250518799
4511,78,0.418559250822609,9.2,4.56,40.94,45.3,0.0,0.0,0.0,0.0,0.0,0.0,329.5269416573764,-0.23366666666666666,1.6670778903281038,0.0,0,6491,5.41203498840332,4.6030683517456055,22.149999618530273,4.446000099182129,6.687218189239502
452,112,0.418559250822609,1.06,12.61,57.25,29.08,0.0,0.0,0.0,0.0,0.0,0.0,26.96527777777778,-0.6314,5.841279722309795,0.0,0,6618,5.290799617767334,4.454880237579346,24.799999237060547,4.327750205993652,3.3519840240478516
4534,192,0.418559250822609,3.57,13.78,0.12,82.53,0.0,0.0,0.0,0.0,0.0,0.0,444.4429012345679,-0.5436,0.9585827144764358,0.0,0,46833,5.385692119598389,4.573307991027832,21.07499885559082,4.433500289916992,4.219405174255371
4538,432,0.418559250822609,1.85,12.02,0.51,85.61,0.0,0.0,0.0,0.0,0.0,0.0,561.820987654321,-0.6111666666666666,1.141848927661006,0.0,0,41931,5.387308120727539,4.5999226570129395,20.799999237060547,4.444666385650635,4.410909175872803
