ID,cluster_ID,residential_area,n_residential_area,admin_0,admin_1,admin_2,admin_3,OSM,urban_percentage,n_buildings,area,extension,population_facebook,population_worldpop,population_density,building_density,night_lights,schools,hospitals,distance_road,distance_grid,distance_official_substations,distance_substations,grid_buildings,lights_build,centroid,polygons,Existing_220.0:,Planned_220.0:,Existing_110.0:,Planned_400.0:,Planned_110.0:,type
1090,284,0.0,0,['Mozambique'],0,0,0,No OSM location found,0.0,425,1.075745206,1.887073753,1433.228726,965.5133057,897.5297315,395.0749655,0.0,1,0,0.031364345,93.63995962,0,0,0,0.0,POINT (415004.9163754175 8111766.422497494),"0    POLYGON ((414336.702 8111270.557, 414336.562 8...
Name: geometry, dtype: geometry",,,,,,Rural
1101,285,0.0,0,['Mozambique'],0,0,0,No OSM location found,0.0,195,0.489187507,1.075486251,589.8287448,405.3663025,828.6521976,398.6201555,0.0,1,0,0.040591799,82.02404305,0,0,0,0.0,POINT (403316.6798080961 8114678.503077813),"0    POLYGON ((402881.160 8114815.622, 402880.971 8...
Name: geometry, dtype: geometry",,,,,,Rural
1104,286,0.0,0,['Mozambique'],0,0,0,No OSM location found,0.0,466,1.078523083,1.919319631,1632.868533,1554.667236,1441.477945,432.0723473,0.0,2,0,5.83511882,98.81343414,0,0,0,0.0,POINT (451106.0423434848 8114996.233474033),"0    POLYGON ((450327.669 8114984.551, 450327.450 8...
Name: geometry, dtype: geometry",,,,,,Rural
1105,287,0.0,0,['Mozambique'],0,0,0,No OSM location found,0.0,164,0.456062691,1.050962111,550.6929169,488.3518677,1070.799864,359.5996848,0.0,0,0,2.849654787,101.6119542,0,0,0,0.0,POINT (448117.9282400656 8114872.342831758),"0    POLYGON ((447756.119 8114885.839, 447755.888 8...
Name: geometry, dtype: geometry",,,,,,Rural
1107,288,0.0,0,['Mozambique'],0,0,0,No OSM location found,0.0,161,0.506229776,1.181195121,557.0963229,491.7625122,971.421548,318.0373968,0.0,0,0,0.079796783,104.1914603,0,0,0,0.0,POINT (445295.2182095773 8114919.204361289),"0    POLYGON ((444829.858 8114785.886, 444829.854 8...
Name: geometry, dtype: geometry",,,,,,Rural
1117,289,0.0,0,['Mozambique'],0,0,0,No OSM location found,0.0,112,0.347513561,0.936269391,384.2043606,357.9042358,1029.900057,322.2895815,0.0,0,0,0.105193516,104.5641822,0,0,0,0.0,POINT (444653.4486108729 8115476.354137206),"0    POLYGON ((444384.480 8115522.223, 444384.475 8...
Name: geometry, dtype: geometry",,,,,,Rural
1124,290,0.0,0,['Mozambique'],0,0,0,No OSM location found,0.0,222,0.375151102,1.089475214,397.0111726,711.6353149,1896.929828,591.7615567,0.0,0,0,14.30284152,68.71499587,0,0,0,0.0,POINT (484439.7684843807 8116182.895025215),"0    POLYGON ((484202.719 8116331.402, 484202.649 8...
Name: geometry, dtype: geometry",,,,,,Rural
1129,291,0.0,0,['Mozambique'],0,0,0,No OSM location found,0.0,348,0.852201568,1.517665199,1030.948368,1032.596558,1211.681128,408.3540948,0.0,0,0,3.412846974,102.1408098,0,0,0,0.0,POINT (448221.212708835 8113279.602603201),"0    POLYGON ((447760.745 8113042.018, 447760.514 8...
Name: geometry, dtype: geometry",,,,,,Rural
1133,292,0.0,0,['Mozambique'],0,0,0,No OSM location found,0.0,175,0.512214959,1.308837267,557.0963229,454.59552,887.5092624,341.6534349,0.0,0,0,0.126688377,106.8771189,0,0,0,0.0,POINT (442616.0205970607 8114356.986116126),"0    POLYGON ((442082.513 8114133.000, 442082.497 8...
Name: geometry, dtype: geometry",,,,,,Rural
1134,293,0.0,0,['Mozambique'],0,0,0,No OSM location found,0.0,192,0.17682149,0.675170168,185.6987743,271.3320313,1534.496913,1085.840864,0.0,0,0,11.59398101,100.0211778,0,0,0,0.0,POINT (453602.9388497335 8106933.084297841),"0    POLYGON ((453360.845 8106971.202, 453360.638 8...
Name: geometry, dtype: geometry",,,,,,Rural
