X,Y,ID,Elevation,Population,Weight
-142571.20041559645,3178395.6725483807,4901,2056.845947265625,0.0,1.5
-142271.20041559645,3178395.6725483807,4902,2028.5692138671875,0.0,1.5
-141971.20041559645,3178395.6725483807,4903,2005.57861328125,0.0,1.5
-141671.20041559645,3178395.6725483807,4904,1961.9451904296875,0.0,1.5
-141371.20041559645,3178395.6725483807,4905,1905.6904296875,0.0,1.5
-141071.20041559645,3178395.6725483807,4906,1866.9039306640625,12.0,1.5
-140771.20041559645,3178395.6725483807,4907,1847.7366943359375,18.0,1.5
-140471.20041559645,3178395.6725483807,4908,1825.2105712890625,8.0,1.5
-140171.20041559645,3178395.6725483807,4909,1811.8831787109375,4.0,1.5
-139871.20041559645,3178395.6725483807,4910,1801.9801025390625,0.0,1.5
-139571.20041559645,3178395.6725483807,4911,1795.1800537109375,0.0,1.5
-139271.20041559645,3178395.6725483807,4912,1801.7796630859375,0.0,2.9361827275494528
-138971.20041559645,3178395.6725483807,4913,1830.8909912109375,0.0,1.5
-138671.20041559645,3178395.6725483807,4914,1817.112548828125,0.0,3.25443008535435
-138371.20041559645,3178395.6725483807,4915,1796.802734375,0.0,1.5
-138071.20041559645,3178395.6725483807,4916,1794.1312255859375,8.0,1.5
-137771.20041559645,3178395.6725483807,4917,1785.9468994140625,29.0,3.212095291931899
-137471.20041559645,3178395.6725483807,4918,1736.1624755859375,4.0,2.947432640017189
-137171.20041559645,3178395.6725483807,4919,1706.5244140625,7.0,1.5
-136871.20041559645,3178395.6725483807,4920,1722.4537353515625,0.0,3.0251435793201633
-136571.20041559645,3178395.6725483807,4921,1776.6829833984375,0.0,1.5
-136271.20041559645,3178395.6725483807,4922,1730.0782470703125,4.0,1.5
-135971.20041559645,3178395.6725483807,4923,1656.9437255859375,0.0,3.222983571123067
-135671.20041559645,3178395.6725483807,4924,1641.955810546875,0.0,1.5
-135371.20041559645,3178395.6725483807,4925,1656.4193115234375,0.0,1.5
-135071.20041559645,3178395.6725483807,4926,1678.396240234375,16.0,3.025376841523523
-134771.20041559645,3178395.6725483807,4927,1673.037109375,0.0,3.1199960170731504
-134471.20041559645,3178395.6725483807,4928,1660.51611328125,0.0,3.415145995780489
-134171.20041559645,3178395.6725483807,4929,1693.797607421875,0.0,1.5
-133871.20041559645,3178395.6725483807,4930,1683.40087890625,0.0,1.5
-133571.20041559645,3178395.6725483807,4931,1682.906494140625,4.0,3.363882761788721
-133271.20041559645,3178395.6725483807,4932,1719.8746337890625,29.0,1.5
-132971.20041559645,3178395.6725483807,4933,1746.80029296875,156.0,1.5
-132671.20041559645,3178395.6725483807,4934,1712.282470703125,48.0,3.090819061649116
-132371.20041559645,3178395.6725483807,4935,1667.0439453125,0.0,1.5
-132071.20041559645,3178395.6725483807,4936,1660.921142578125,0.0,1.5
-131771.20041559645,3178395.6725483807,4937,1680.9505615234375,0.0,2.8539420024429942
-131471.20041559645,3178395.6725483807,4938,1696.6109619140625,0.0,1.5
-131171.20041559645,3178395.6725483807,4939,1686.6583251953125,0.0,2.953846384097265
-130871.20041559645,3178395.6725483807,4940,1660.880126953125,0.0,1.5
-130571.20041559645,3178395.6725483807,4941,1637.30517578125,0.0,1.5
-130271.20041559645,3178395.6725483807,4942,1624.8382568359375,0.0,3.3746855404506304
-129971.20041559645,3178395.6725483807,4943,1621.37353515625,0.0,3.1032809262240653
-129671.20041559645,3178395.6725483807,4944,1635.151611328125,0.0,1.5
-129371.20041559645,3178395.6725483807,4945,1647.510498046875,0.0,1.5
-129071.20041559645,3178395.6725483807,4946,1654.6395263671875,43.0,3.1400939331821047
-128771.20041559645,3178395.6725483807,4947,1664.795166015625,51.0,1.5
-128471.20041559645,3178395.6725483807,4948,1673.5064697265625,90.0,1.5
-128171.20041559645,3178395.6725483807,4949,1668.7681884765625,29.0,1.5
-127871.20041559645,3178395.6725483807,4950,1652.2703857421875,0.0,1.5
-127571.20041559645,3178395.6725483807,4951,1643.5572509765625,22.0,1.5
-127271.20041559645,3178395.6725483807,4952,1672.4173583984375,63.0,1.5
-126971.20041559645,3178395.6725483807,4953,1673.07568359375,65.0,1.5
-126671.20041559645,3178395.6725483807,4954,1630.8662109375,0.0,1.5
-126371.20041559645,3178395.6725483807,4955,1624.654541015625,7.0,1.5
-126071.20041559645,3178395.6725483807,4956,1646.88671875,4.0,1.5
-125771.20041559645,3178395.6725483807,4957,1642.166015625,0.0,1.5
-125471.20041559645,3178395.6725483807,4958,1645.4256591796875,0.0,1.5
-125171.20041559645,3178395.6725483807,4959,1648.5308837890625,13.0,2.9059012573473355
-124871.20041559645,3178395.6725483807,4960,1638.7509765625,8.0,1.5
-124571.20041559645,3178395.6725483807,4961,1626.7021484375,0.0,3.7457549917218653
-124271.20041559645,3178395.6725483807,4962,1630.8145751953125,6.0,3.0370944960848956
-123971.20041559645,3178395.6725483807,4963,1660.9139404296875,51.0,1.5
-123671.20041559645,3178395.6725483807,4964,1662.176513671875,42.0,1.5
-123371.20041559645,3178395.6725483807,4965,1643.3182373046875,13.0,1.5
-123071.20041559645,3178395.6725483807,4966,1642.36669921875,0.0,1.5
-122771.20041559645,3178395.6725483807,4967,1647.210205078125,0.0,1.5
-122471.20041559645,3178395.6725483807,4968,1641.695556640625,0.0,1.5
-122171.20041559645,3178395.6725483807,4969,1634.099609375,3.0,3.0134590401791836
-121871.20041559645,3178395.6725483807,4970,1648.35302734375,44.0,1.5
-121571.20041559645,3178395.6725483807,4971,1648.290283203125,61.0,1.5
-121271.20041559645,3178395.6725483807,4972,1663.20166015625,8.0,1.5
-120971.20041559645,3178395.6725483807,4973,1695.52099609375,10.0,3.2149333982628616
-120671.20041559645,3178395.6725483807,4974,1689.3389892578125,33.0,3.2503624279675427
-120371.20041559645,3178395.6725483807,4975,1661.118896484375,0.0,4.172053154250488
-120071.20041559645,3178395.6725483807,4976,1613.6099853515625,0.0,5.418512107876447
-176471.20041559645,3178695.6725483807,4977,2986.746337890625,0.0,7.117000676952272
-176171.20041559645,3178695.6725483807,4978,2975.521484375,0.0,7.141130409796675
-175871.20041559645,3178695.6725483807,4979,2968.89404296875,0.0,7.182731291283067
-175571.20041559645,3178695.6725483807,4980,2956.17333984375,0.0,7.1584182785914034
-175271.20041559645,3178695.6725483807,4981,2932.302978515625,0.0,7.1269937092577464
-174971.20041559645,3178695.6725483807,4982,2924.76806640625,0.0,7.0810662959473
-174671.20041559645,3178695.6725483807,4983,2940.776611328125,0.0,7.1550176523058
-174371.20041559645,3178695.6725483807,4984,2966.672119140625,0.0,7.191733658577329
-174071.20041559645,3178695.6725483807,4985,2984.533935546875,0.0,7.194249425785303
-173771.20041559645,3178695.6725483807,4986,2951.5966796875,0.0,7.233408700629289
-173471.20041559645,3178695.6725483807,4987,2913.28369140625,0.0,7.111610299834873
-173171.20041559645,3178695.6725483807,4988,2916.614013671875,0.0,7.076587792273761
-172871.20041559645,3178695.6725483807,4989,2941.659912109375,0.0,7.1787286662187615
-172571.20041559645,3178695.6725483807,4990,2975.84521484375,0.0,7.191326229524993
-172271.20041559645,3178695.6725483807,4991,2957.02294921875,0.0,7.187925523858483
-171971.20041559645,3178695.6725483807,4992,2922.881591796875,0.0,7.157411229294889
-171671.20041559645,3178695.6725483807,4993,2934.55859375,0.0,7.182376452908551
-171371.20041559645,3178695.6725483807,4994,2955.187255859375,0.0,7.312846019217701
-171071.20041559645,3178695.6725483807,4995,2985.519775390625,0.0,7.285304477349005
-170771.20041559645,3178695.6725483807,4996,2948.849853515625,0.0,7.299262992718337
-170471.20041559645,3178695.6725483807,4997,2893.91845703125,0.0,7.172143631985949
-170171.20041559645,3178695.6725483807,4998,2919.6064453125,0.0,7.227828981573584
-169871.20041559645,3178695.6725483807,4999,2924.43505859375,0.0,7.237691660876742
-169571.20041559645,3178695.6725483807,5000,2850.709228515625,0.0,7.474597860951409
-169271.20041559645,3178695.6725483807,5001,2818.294189453125,0.0,7.3794246914129005
-168971.20041559645,3178695.6725483807,5002,2841.54345703125,0.0,7.411188692129677
-168671.20041559645,3178695.6725483807,5003,2828.30859375,0.0,7.424548199885374
-168371.20041559645,3178695.6725483807,5004,2811.29052734375,0.0,7.342975039577452
-168071.20041559645,3178695.6725483807,5005,2832.9326171875,0.0,7.3032181268573355
-167771.20041559645,3178695.6725483807,5006,2868.42822265625,0.0,7.265969458657265
-167471.20041559645,3178695.6725483807,5007,2835.611083984375,0.0,7.328749220723848
-167171.20041559645,3178695.6725483807,5008,2817.423828125,0.0,7.408824600255807
-166871.20041559645,3178695.6725483807,5009,2793.30810546875,0.0,7.42192404283036
-166571.20041559645,3178695.6725483807,5010,2780.71728515625,0.0,7.341978947734052
-166271.20041559645,3178695.6725483807,5011,2758.816162109375,0.0,7.2483055292591
-165971.20041559645,3178695.6725483807,5012,2718.39990234375,0.0,7.156730192483828
-165671.20041559645,3178695.6725483807,5013,2718.88232421875,0.0,7.146399598266216
-165371.20041559645,3178695.6725483807,5014,2718.170654296875,0.0,7.22984148742398
-165071.20041559645,3178695.6725483807,5015,2714.628173828125,0.0,7.185073973606661
-164771.20041559645,3178695.6725483807,5016,2739.864990234375,0.0,7.232464932014084
-164471.20041559645,3178695.6725483807,5017,2781.434326171875,0.0,7.305715347878268
-164171.20041559645,3178695.6725483807,5018,2817.569091796875,0.0,7.348881757141265
-163871.20041559645,3178695.6725483807,5019,2829.19775390625,0.0,7.315666854654255
-163571.20041559645,3178695.6725483807,5020,2837.914794921875,0.0,7.276540300214531
-163271.20041559645,3178695.6725483807,5021,2902.532470703125,0.0,7.3181245174077985
-162971.20041559645,3178695.6725483807,5022,2975.60888671875,0.0,7.4365754744792625
-162671.20041559645,3178695.6725483807,5023,3090.26171875,0.0,7.600579885889867
-162371.20041559645,3178695.6725483807,5024,3112.757080078125,0.0,7.428460587035448
-162071.20041559645,3178695.6725483807,5025,3063.11767578125,0.0,7.371998311010559
-161771.20041559645,3178695.6725483807,5026,2986.449462890625,0.0,7.342116987170816
-161471.20041559645,3178695.6725483807,5027,2926.461181640625,0.0,7.2904392492918655
-161171.20041559645,3178695.6725483807,5028,2899.924072265625,0.0,7.2891987972641665
-160871.20041559645,3178695.6725483807,5029,2916.606201171875,0.0,7.44084388082856
-160571.20041559645,3178695.6725483807,5030,2962.364013671875,0.0,7.512468042148294
-160271.20041559645,3178695.6725483807,5031,2986.311767578125,0.0,7.515415011155715
-159971.20041559645,3178695.6725483807,5032,2986.311767578125,0.0,7.571638651791949
-159671.20041559645,3178695.6725483807,5033,2888.7373046875,0.0,7.454107283356893
-159371.20041559645,3178695.6725483807,5034,2787.45849609375,0.0,6.515293025545565
-159071.20041559645,3178695.6725483807,5035,2724.361572265625,0.0,5.901245625273065
-158771.20041559645,3178695.6725483807,5036,2677.6240234375,0.0,5.787183428376055
-158471.20041559645,3178695.6725483807,5037,2663.704833984375,0.0,6.427238769754799
-158171.20041559645,3178695.6725483807,5038,2702.501220703125,0.0,7.3386262336307135
-157871.20041559645,3178695.6725483807,5039,2759.339111328125,0.0,7.417479523040891
-157571.20041559645,3178695.6725483807,5040,2834.46630859375,0.0,7.405596838653523
-157271.20041559645,3178695.6725483807,5041,2895.698486328125,0.0,7.382537470983402
-156971.20041559645,3178695.6725483807,5042,2951.1796875,0.0,7.358767217971874
-156671.20041559645,3178695.6725483807,5043,3038.19970703125,0.0,7.291643667612986
-156371.20041559645,3178695.6725483807,5044,3062.679931640625,0.0,7.5462666081204235
-156071.20041559645,3178695.6725483807,5045,2967.10302734375,0.0,7.578082058469057
-155771.20041559645,3178695.6725483807,5046,2839.00830078125,0.0,7.495652701959725
-155471.20041559645,3178695.6725483807,5047,2766.996337890625,0.0,7.541717843251219
-155171.20041559645,3178695.6725483807,5048,2863.12646484375,0.0,7.5207106505947845
-154871.20041559645,3178695.6725483807,5049,2889.88427734375,0.0,7.500465122002543
-154571.20041559645,3178695.6725483807,5050,2848.49462890625,0.0,7.51479090238389
-154271.20041559645,3178695.6725483807,5051,2842.486328125,0.0,7.4887049643900365
-153971.20041559645,3178695.6725483807,5052,2756.25146484375,0.0,7.44990314068986
-153671.20041559645,3178695.6725483807,5053,2723.33984375,0.0,7.6340529167674465
-153371.20041559645,3178695.6725483807,5054,2609.65478515625,0.0,6.449660462891382
-153071.20041559645,3178695.6725483807,5055,2429.36083984375,0.0,5.139592205708144
-152771.20041559645,3178695.6725483807,5056,2359.662109375,0.0,3.8767435650290754
-152471.20041559645,3178695.6725483807,5057,2308.897216796875,0.0,3.5553362439393923
-152171.20041559645,3178695.6725483807,5058,2227.2958984375,0.0,1.5
-151871.20041559645,3178695.6725483807,5059,2154.86865234375,0.0,1.5
-151571.20041559645,3178695.6725483807,5060,2111.376708984375,0.0,1.5
-151271.20041559645,3178695.6725483807,5061,2105.3212890625,0.0,3.7258859729382996
-150971.20041559645,3178695.6725483807,5062,2129.883544921875,0.0,4.098796740141132
-150671.20041559645,3178695.6725483807,5063,2131.28759765625,4.0,4.68068649984637
-150371.20041559645,3178695.6725483807,5064,2087.860595703125,0.0,3.9266837272223007
-150071.20041559645,3178695.6725483807,5065,2162.440185546875,0.0,4.406295314800328
-149771.20041559645,3178695.6725483807,5066,2186.2255859375,0.0,3.9129058770829275
-149471.20041559645,3178695.6725483807,5067,2104.214599609375,0.0,3.2845432614682153
-149171.20041559645,3178695.6725483807,5068,2133.1845703125,7.0,4.489345281164141
-148871.20041559645,3178695.6725483807,5069,2234.2021484375,0.0,6.073295292832034
-148571.20041559645,3178695.6725483807,5070,2180.2099609375,0.0,7.389912339837245
-148271.20041559645,3178695.6725483807,5071,2142.688720703125,0.0,7.50427229820561
-147971.20041559645,3178695.6725483807,5072,2214.768310546875,0.0,7.5451666449753
-147671.20041559645,3178695.6725483807,5073,2227.3046875,0.0,6.344177900705592
-147371.20041559645,3178695.6725483807,5074,2111.8583984375,0.0,5.124382265900349
-147071.20041559645,3178695.6725483807,5075,2026.3250732421875,0.0,3.939242274276601
-146771.20041559645,3178695.6725483807,5076,2013.1661376953125,4.0,1.5
-146471.20041559645,3178695.6725483807,5077,2063.392822265625,3.0,3.144789735168913
-146171.20041559645,3178695.6725483807,5078,2153.097412109375,0.0,4.713787224143736
-145871.20041559645,3178695.6725483807,5079,2145.49755859375,0.0,4.11766389468683
-145571.20041559645,3178695.6725483807,5080,2110.648681640625,0.0,4.266287299500666
-145271.20041559645,3178695.6725483807,5081,2099.5859375,0.0,5.1770861872642335
-144971.20041559645,3178695.6725483807,5082,2056.24365234375,0.0,4.824428407891243
-144671.20041559645,3178695.6725483807,5083,2070.19677734375,0.0,3.697016100152101
-144371.20041559645,3178695.6725483807,5084,2075.5859375,0.0,1.5
-144071.20041559645,3178695.6725483807,5085,2067.61376953125,0.0,1.5
-143771.20041559645,3178695.6725483807,5086,2075.547119140625,0.0,1.5
-143471.20041559645,3178695.6725483807,5087,2119.859130859375,0.0,1.5
-143171.20041559645,3178695.6725483807,5088,2164.46484375,0.0,3.6629676356469094
-142871.20041559645,3178695.6725483807,5089,2116.51025390625,0.0,1.5
-142571.20041559645,3178695.6725483807,5090,2078.60986328125,9.0,1.5
-142271.20041559645,3178695.6725483807,5091,2036.7816162109375,0.0,1.5
-141971.20041559645,3178695.6725483807,5092,2024.4998779296875,0.0,1.5
-141671.20041559645,3178695.6725483807,5093,1987.7685546875,0.0,3.683969171780242
-141371.20041559645,3178695.6725483807,5094,1924.483154296875,0.0,3.341672521397946
-141071.20041559645,3178695.6725483807,5095,1895.230224609375,0.0,1.5
-140771.20041559645,3178695.6725483807,5096,1868.0745849609375,0.0,1.5
-140471.20041559645,3178695.6725483807,5097,1843.3897705078125,0.0,1.5
-140171.20041559645,3178695.6725483807,5098,1833.256591796875,0.0,1.5
-139871.20041559645,3178695.6725483807,5099,1817.4163818359375,0.0,1.5
-139571.20041559645,3178695.6725483807,5100,1812.5191650390625,0.0,1.5
-139271.20041559645,3178695.6725483807,5101,1809.0361328125,0.0,1.5
-138971.20041559645,3178695.6725483807,5102,1831.315673828125,0.0,1.5
-138671.20041559645,3178695.6725483807,5103,1833.745849609375,26.0,1.5
-138371.20041559645,3178695.6725483807,5104,1811.6590576171875,7.0,3.1287615735477514
-138071.20041559645,3178695.6725483807,5105,1801.3768310546875,51.0,1.5
-137771.20041559645,3178695.6725483807,5106,1771.45361328125,40.0,1.5
-137471.20041559645,3178695.6725483807,5107,1741.09765625,66.0,1.5
-137171.20041559645,3178695.6725483807,5108,1704.383544921875,84.0,1.5
-136871.20041559645,3178695.6725483807,5109,1693.4007568359375,4.0,3.073687673858619
-136571.20041559645,3178695.6725483807,5110,1761.028076171875,0.0,1.5
-136271.20041559645,3178695.6725483807,5111,1721.24755859375,0.0,4.122762674614341
-135971.20041559645,3178695.6725483807,5112,1652.3067626953125,0.0,3.9670451167412764
-135671.20041559645,3178695.6725483807,5113,1647.2109375,0.0,1.5
-135371.20041559645,3178695.6725483807,5114,1666.326171875,0.0,1.5
-135071.20041559645,3178695.6725483807,5115,1706.6251220703125,132.0,1.5
-134771.20041559645,3178695.6725483807,5116,1690.3428955078125,50.0,3.041265344093415
-134471.20041559645,3178695.6725483807,5117,1663.2476806640625,0.0,3.670841545141828
-134171.20041559645,3178695.6725483807,5118,1698.8216552734375,37.0,1.5
-133871.20041559645,3178695.6725483807,5119,1694.64501953125,18.0,1.5
-133571.20041559645,3178695.6725483807,5120,1697.3980712890625,0.0,3.1325080363760445
-133271.20041559645,3178695.6725483807,5121,1713.4361572265625,20.0,7.097060532579934
-132971.20041559645,3178695.6725483807,5122,1745.277587890625,69.0,1.5
-132671.20041559645,3178695.6725483807,5123,1728.63134765625,47.0,1.5
-132371.20041559645,3178695.6725483807,5124,1678.8089599609375,0.0,1.5
-132071.20041559645,3178695.6725483807,5125,1668.2269287109375,0.0,3.4579906246310226
-131771.20041559645,3178695.6725483807,5126,1688.2503662109375,0.0,1.5
-131471.20041559645,3178695.6725483807,5127,1687.9053955078125,0.0,1.5
-131171.20041559645,3178695.6725483807,5128,1669.9842529296875,0.0,1.5
-130871.20041559645,3178695.6725483807,5129,1658.8675537109375,0.0,1.5
-130571.20041559645,3178695.6725483807,5130,1652.7884521484375,0.0,1.5
-130271.20041559645,3178695.6725483807,5131,1635.6927490234375,0.0,1.5
-129971.20041559645,3178695.6725483807,5132,1622.31689453125,0.0,3.467147524737042
-129671.20041559645,3178695.6725483807,5133,1635.9114990234375,0.0,1.5
-129371.20041559645,3178695.6725483807,5134,1649.6973876953125,0.0,1.5
-129071.20041559645,3178695.6725483807,5135,1658.254638671875,0.0,1.5
-128771.20041559645,3178695.6725483807,5136,1662.9801025390625,3.0,1.5
-128471.20041559645,3178695.6725483807,5137,1669.303466796875,73.0,1.5
-128171.20041559645,3178695.6725483807,5138,1672.38671875,140.0,1.5
-127871.20041559645,3178695.6725483807,5139,1657.5921630859375,9.0,1.5
-127571.20041559645,3178695.6725483807,5140,1647.14013671875,10.0,1.5
