X,Y,ID,Population,Elevation,Weight,geometry,Land_cover,Cluster,MV_Power,Substation,Type
-159071.20041559645,3164295.6725483807,66.0,58.0,1977.909912109375,1.5,POINT (-159071.2004155965 3164295.672548381),,,,,Standard
-158771.20041559645,3164295.6725483807,67.0,20.0,1668.8516845703125,1.5,POINT (-158771.2004155965 3164295.672548381),,,,,Standard
-158471.20041559645,3164295.6725483807,68.0,0.0,383.50537109375,2.8893538044256197,POINT (-158471.2004155965 3164295.672548381),,,,,Standard
-164171.20041559645,3164595.6725483807,69.0,14.0,2089.630126953125,1.5,POINT (-164171.2004155965 3164595.672548381),,,,,Standard
-163871.20041559645,3164595.6725483807,70.0,17.0,2103.934326171875,1.5,POINT (-163871.2004155965 3164595.672548381),,,,,Standard
-163571.20041559645,3164595.6725483807,71.0,43.0,2074.870361328125,1.5,POINT (-163571.2004155965 3164595.672548381),,,,,Standard
-163271.20041559645,3164595.6725483807,72.0,109.0,2056.99462890625,1.5,POINT (-163271.2004155965 3164595.672548381),,,,,Standard
-162971.20041559645,3164595.6725483807,73.0,7.0,2036.8607177734373,1.5,POINT (-162971.2004155965 3164595.672548381),,,,,Standard
-162671.20041559645,3164595.6725483807,74.0,7.0,2040.7088623046875,3.1336031904745583,POINT (-162671.2004155965 3164595.672548381),,,,,Standard
-162371.20041559645,3164595.6725483807,75.0,10.0,2032.743896484375,1.5,POINT (-162371.2004155965 3164595.672548381),,,,,Standard
-162071.20041559645,3164595.6725483807,76.0,14.0,2036.908447265625,1.5,POINT (-162071.2004155965 3164595.672548381),,,,,Standard
-161771.20041559645,3164595.6725483807,77.0,0.0,2126.10498046875,1.5,POINT (-161771.2004155965 3164595.672548381),,,,,Standard
-161471.20041559645,3164595.6725483807,78.0,0.0,2157.462646484375,3.802085338492213,POINT (-161471.2004155965 3164595.672548381),,,,,Standard
-161171.20041559645,3164595.6725483807,79.0,0.0,2146.23193359375,4.437096045480767,POINT (-161171.2004155965 3164595.672548381),,,,,Standard
-160871.20041559645,3164595.6725483807,80.0,0.0,2187.990966796875,3.083049661704645,POINT (-160871.2004155965 3164595.672548381),,,,,Standard
-160571.20041559645,3164595.6725483807,81.0,0.0,2192.296142578125,1.5,POINT (-160571.2004155965 3164595.672548381),,,,,Standard
-160271.20041559645,3164595.6725483807,82.0,0.0,2132.8037109375,1.5,POINT (-160271.2004155965 3164595.672548381),,,,,Standard
-159971.20041559645,3164595.6725483807,83.0,40.0,2132.8037109375,3.5306311110260893,POINT (-159971.2004155965 3164595.672548381),,,,,Standard
-159671.20041559645,3164595.6725483807,84.0,40.0,2047.1290283203125,1.5,POINT (-159671.2004155965 3164595.672548381),,,,,Standard
-159371.20041559645,3164595.6725483807,85.0,69.0,2014.3172607421875,1.5,POINT (-159371.2004155965 3164595.672548381),,,,,Standard
-159071.20041559645,3164595.6725483807,86.0,53.0,1981.654052734375,1.5,POINT (-159071.2004155965 3164595.672548381),,,,,Standard
-158771.20041559645,3164595.6725483807,87.0,25.0,1942.5859375,3.6794375413912213,POINT (-158771.2004155965 3164595.672548381),,,,,Standard
-158471.20041559645,3164595.6725483807,88.0,0.0,1346.6068115234375,1.5,POINT (-158471.2004155965 3164595.672548381),,,,,Standard
-164471.20041559645,3164895.6725483807,89.0,4.0,2128.634765625,1.5,POINT (-164471.2004155965 3164895.672548381),,,,,Standard
-164171.20041559645,3164895.6725483807,90.0,0.0,2151.08154296875,1.5,POINT (-164171.2004155965 3164895.672548381),,,,,Standard
-163871.20041559645,3164895.6725483807,91.0,0.0,2152.385498046875,1.5,POINT (-163871.2004155965 3164895.672548381),,,,,Standard
-163571.20041559645,3164895.6725483807,92.0,4.0,2127.815673828125,3.840094377014445,POINT (-163571.2004155965 3164895.672548381),,,,,Standard
-163271.20041559645,3164895.6725483807,93.0,4.0,2112.9453125,3.8037968568470046,POINT (-163271.2004155965 3164895.672548381),,,,,Standard
-162971.20041559645,3164895.6725483807,94.0,4.0,2072.123779296875,1.5,POINT (-162971.2004155965 3164895.672548381),,,,,Standard
