X,Y,geometry,ID,Elevation,Slope,Population,Land_cover,Protected_area,Road_dist,River_flow
-171671.20041559645,3179895.6725483807,POINT (-171671.2004155965 3179895.672548381),5737,3010.61328125,13.85888671875,0.0,2,False,6358.947601550777,
-171371.20041559645,3179895.6725483807,POINT (-171371.2004155965 3179895.672548381),5738,2956.617431640625,12.985538482666016,0.0,2,False,6098.749682967208,
-171071.20041559645,3179895.6725483807,POINT (-171071.2004155965 3179895.672548381),5739,2911.913818359375,7.9617133140563965,0.0,2,False,5842.369450121831,
-170771.20041559645,3179895.6725483807,POINT (-170771.2004155965 3179895.672548381),5740,2916.58056640625,9.123688697814941,0.0,2,False,5590.33218046487,
-170471.20041559645,3179895.6725483807,POINT (-170471.2004155965 3179895.672548381),5741,2949.95458984375,11.309496879577637,0.0,2,False,5343.252472433373,
-170171.20041559645,3179895.6725483807,POINT (-170171.2004155965 3179895.672548381),5742,3010.398193359375,12.729398727416992,0.0,2,False,5101.850652497542,
-169871.20041559645,3179895.6725483807,POINT (-169871.2004155965 3179895.672548381),5743,3058.85009765625,15.389973640441895,0.0,2,False,4866.971663839214,
-169571.20041559645,3179895.6725483807,POINT (-169571.2004155965 3179895.672548381),5744,3067.267822265625,21.194107055664062,0.0,2,False,4639.606262694938,
-169271.20041559645,3179895.6725483807,POINT (-169271.2004155965 3179895.672548381),5745,3050.94140625,18.781763076782227,0.0,3,False,4418.799668085752,
-168971.20041559645,3179895.6725483807,POINT (-168971.2004155965 3179895.672548381),5746,2987.14453125,17.154211044311523,0.0,2,False,4206.587154431923,
-168671.20041559645,3179895.6725483807,POINT (-168671.2004155965 3179895.672548381),5747,2924.440185546875,14.927718162536621,0.0,3,False,4005.6161160286665,
-168371.20041559645,3179895.6725483807,POINT (-168371.2004155965 3179895.672548381),5748,2951.044189453125,16.45643424987793,0.0,3,False,3817.6623017424545,
-168071.20041559645,3179895.6725483807,POINT (-168071.2004155965 3179895.672548381),5749,3024.716796875,18.78787612915039,0.0,2,False,3644.740104767747,
-167771.20041559645,3179895.6725483807,POINT (-167771.2004155965 3179895.672548381),5750,3087.095947265625,17.11249542236328,0.0,3,False,3487.1721802114375,
-167471.20041559645,3179895.6725483807,POINT (-167471.2004155965 3179895.672548381),5751,3032.92333984375,18.96243667602539,0.0,3,False,3348.2921805941533,
-167171.20041559645,3179895.6725483807,POINT (-167171.2004155965 3179895.672548381),5752,2948.99658203125,18.58207130432129,0.0,2,False,3231.3698703205278,
-166871.20041559645,3179895.6725483807,POINT (-166871.2004155965 3179895.672548381),5753,2880.750732421875,13.256065368652344,0.0,3,False,3138.101118568718,
-166571.20041559645,3179895.6725483807,POINT (-166571.2004155965 3179895.672548381),5754,2883.649658203125,13.63365364074707,0.0,3,False,3061.5738323032997,
-166271.20041559645,3179895.6725483807,POINT (-166271.2004155965 3179895.672548381),5755,2855.696044921875,13.841302871704102,0.0,2,False,2954.862777091128,
-165971.20041559645,3179895.6725483807,POINT (-165971.2004155965 3179895.672548381),5756,2889.3671875,17.09144401550293,0.0,2,False,2835.3556438779583,
-165671.20041559645,3179895.6725483807,POINT (-165671.2004155965 3179895.672548381),5757,2961.59521484375,18.366506576538086,0.0,2,False,2722.8975948681714,
-165371.20041559645,3179895.6725483807,POINT (-165371.2004155965 3179895.672548381),5758,2900.570556640625,19.57159996032715,0.0,2,False,2639.9054901657278,
-165071.20041559645,3179895.6725483807,POINT (-165071.2004155965 3179895.672548381),5759,2812.4833984375,18.2379093170166,0.0,2,False,2589.214298175304,
-164771.20041559645,3179895.6725483807,POINT (-164771.2004155965 3179895.672548381),5760,2769.344970703125,20.511438369750977,0.0,2,False,2565.362087657672,
-164471.20041559645,3179895.6725483807,POINT (-164471.2004155965 3179895.672548381),5761,2702.3017578125,18.272111892700195,0.0,3,False,2561.7337474320157,
-164171.20041559645,3179895.6725483807,POINT (-164171.2004155965 3179895.672548381),5762,2680.715087890625,10.804902076721191,0.0,2,False,2538.229872060056,
-163871.20041559645,3179895.6725483807,POINT (-163871.2004155965 3179895.672548381),5763,2667.588134765625,6.12528133392334,0.0,2,False,2361.43026455092,
-163571.20041559645,3179895.6725483807,POINT (-163571.2004155965 3179895.672548381),5764,2676.569091796875,8.92581844329834,0.0,2,False,2211.070461092909,
-163271.20041559645,3179895.6725483807,POINT (-163271.2004155965 3179895.672548381),5765,2722.49609375,12.149304389953613,0.0,2,False,2093.1584444322866,
-162971.20041559645,3179895.6725483807,POINT (-162971.2004155965 3179895.672548381),5766,2787.336181640625,16.307313919067383,0.0,2,False,2013.4030801304468,
-162671.20041559645,3179895.6725483807,POINT (-162671.2004155965 3179895.672548381),5767,2887.8251953125,22.104902267456055,0.0,2,False,1976.4290153353222,
-162371.20041559645,3179895.6725483807,POINT (-162371.2004155965 3179895.672548381),5768,2910.921630859375,18.40746307373047,0.0,2,False,1984.6287668579057,
-162071.20041559645,3179895.6725483807,POINT (-162071.2004155965 3179895.672548381),5769,2902.19287109375,20.386198043823242,0.0,2,False,2035.4477353616371,
-161771.20041559645,3179895.6725483807,POINT (-161771.2004155965 3179895.672548381),5770,2968.855224609375,23.004459381103516,0.0,2,False,2126.7167561892297,
-161471.20041559645,3179895.6725483807,POINT (-161471.2004155965 3179895.672548381),5771,2965.226806640625,23.164093017578125,0.0,3,False,2253.8540589261784,
-161171.20041559645,3179895.6725483807,POINT (-161171.2004155965 3179895.672548381),5772,3026.16845703125,24.46947479248047,0.0,2,False,2309.809272736284,
-160871.20041559645,3179895.6725483807,POINT (-160871.2004155965 3179895.672548381),5773,3065.85205078125,22.04564666748047,0.0,3,False,2017.374343701869,
-160571.20041559645,3179895.6725483807,POINT (-160571.2004155965 3179895.672548381),5774,2980.451416015625,25.77533721923828,0.0,3,False,1727.45825582608,
-160271.20041559645,3179895.6725483807,POINT (-160271.2004155965 3179895.672548381),5775,2893.478271484375,22.187795639038086,0.0,2,False,1440.0101501929116,
-159971.20041559645,3179895.6725483807,POINT (-159971.2004155965 3179895.672548381),5776,2893.478271484375,20.7810001373291,0.0,2,False,1158.3683798312302,
-159671.20041559645,3179895.6725483807,POINT (-159671.2004155965 3179895.672548381),5777,2825.08056640625,15.909424781799316,0.0,3,False,876.0296879185087,
-159371.20041559645,3179895.6725483807,POINT (-159371.2004155965 3179895.672548381),5778,2745.173583984375,11.682894706726074,0.0,2,False,598.6659532780936,
-159071.20041559645,3179895.6725483807,POINT (-159071.2004155965 3179895.672548381),5779,2695.148193359375,11.903459548950195,0.0,2,False,346.45370591067905,
-158771.20041559645,3179895.6725483807,POINT (-158771.2004155965 3179895.672548381),5780,2657.362548828125,9.538420677185059,0.0,2,False,123.54854234321229,
-158471.20041559645,3179895.6725483807,POINT (-158471.2004155965 3179895.672548381),5781,2638.762451171875,8.204771041870117,0.0,2,False,52.43287132945669,
-158171.20041559645,3179895.6725483807,POINT (-158171.2004155965 3179895.672548381),5782,2652.543212890625,10.807565689086914,0.0,2,False,222.7733460604963,
-157871.20041559645,3179895.6725483807,POINT (-157871.2004155965 3179895.672548381),5783,2677.440673828125,17.74959373474121,0.0,2,False,417.2962273130622,
-157571.20041559645,3179895.6725483807,POINT (-157571.2004155965 3179895.672548381),5784,2737.895263671875,23.49798011779785,0.0,2,False,642.7326022041373,
-157271.20041559645,3179895.6725483807,POINT (-157271.2004155965 3179895.672548381),5785,2826.899658203125,24.53359031677246,0.0,2,False,690.5328348754794,
-156971.20041559645,3179895.6725483807,POINT (-156971.2004155965 3179895.672548381),5786,2839.743408203125,21.013282775878906,0.0,2,False,844.7886631950443,
-156671.20041559645,3179895.6725483807,POINT (-156671.2004155965 3179895.672548381),5787,2837.728515625,17.428606033325195,0.0,2,False,1063.2498177213922,
-156371.20041559645,3179895.6725483807,POINT (-156371.2004155965 3179895.672548381),5788,2874.004638671875,16.973331451416016,0.0,2,False,1314.2802076826226,
-156071.20041559645,3179895.6725483807,POINT (-156071.2004155965 3179895.672548381),5789,2935.321044921875,19.572654724121094,0.0,2,False,1579.8299545271013,
-155771.20041559645,3179895.6725483807,POINT (-155771.2004155965 3179895.672548381),5790,3024.841796875,26.082481384277344,0.0,2,False,1690.3743470154159,
-155471.20041559645,3179895.6725483807,POINT (-155471.2004155965 3179895.672548381),5791,2993.653564453125,25.95863914489746,0.0,3,False,1762.5856278031179,
-155171.20041559645,3179895.6725483807,POINT (-155171.2004155965 3179895.672548381),5792,2899.529541015625,25.146236419677734,0.0,3,False,1875.59638327951,
-154871.20041559645,3179895.6725483807,POINT (-154871.2004155965 3179895.672548381),5793,2864.03857421875,25.140666961669922,0.0,3,False,2027.070667392789,
-154571.20041559645,3179895.6725483807,POINT (-154571.2004155965 3179895.672548381),5794,2738.46826171875,22.290369033813477,0.0,2,False,1748.244145310314,
-154271.20041559645,3179895.6725483807,POINT (-154271.2004155965 3179895.672548381),5795,2630.5654296875,25.44590187072754,4.0,3,False,1459.321927022253,
-153971.20041559645,3179895.6725483807,POINT (-153971.2004155965 3179895.672548381),5796,2517.278564453125,22.36368751525879,0.0,3,False,1175.96062083902,
