,X,Y,ID,Elevation,Type,Population,Weight,Elevation
23,-161771.20041559645,3163695.6725483807,23.0,2026.3299560546875,Standard,47.0,1.5,2026.3299560546875
24,-161471.20041559645,3163695.6725483807,24.0,1986.8492431640625,Standard,24.0,1.5,1986.8492431640625
25,-161171.20041559645,3163695.6725483807,25.0,1993.67529296875,Standard,54.0,1.5,1993.67529296875
26,-160871.20041559645,3163695.6725483807,26.0,1989.768798828125,Standard,12.0,1.5,1989.768798828125
27,-160571.20041559645,3163695.6725483807,27.0,1985.96728515625,Standard,58.0,1.5,1985.96728515625
28,-160271.20041559645,3163695.6725483807,28.0,2022.192626953125,Standard,24.0,3.2748574250741527,2022.192626953125
29,-159971.20041559645,3163695.6725483807,29.0,2022.192626953125,Standard,0.0,1.5,2022.192626953125
30,-159371.20041559645,3163695.6725483807,30.0,1432.6092529296875,Standard,0.0,3.6552070394176743,1432.6092529296875
31,-159071.20041559645,3163695.6725483807,31.0,488.2694396972656,Standard,0.0,4.094105758466084,488.2694396972656
32,-158771.20041559645,3163695.6725483807,32.0,31.77980232238769,Standard,0.0,4.3628580920944255,31.77980232238769
33,-163571.20041559645,3163995.6725483807,33.0,2016.2603759765625,Standard,0.0,1.5,2016.2603759765625
34,-163271.20041559645,3163995.6725483807,34.0,2028.5301513671875,Standard,0.0,2.937511279706793,2028.5301513671875
35,-162971.20041559645,3163995.6725483807,35.0,2009.151611328125,Standard,27.0,1.5,2009.151611328125
36,-162671.20041559645,3163995.6725483807,36.0,2026.3365478515625,Standard,90.0,1.5,2026.3365478515625
37,-162371.20041559645,3163995.6725483807,37.0,2002.9510498046875,Standard,17.0,1.5,2002.9510498046875
38,-162071.20041559645,3163995.6725483807,38.0,2032.766357421875,Standard,47.0,1.5,2032.766357421875
39,-161771.20041559645,3163995.6725483807,39.0,2091.04296875,Standard,27.0,1.5,2091.04296875
40,-161471.20041559645,3163995.6725483807,40.0,2034.173828125,Standard,11.0,1.5,2034.173828125
41,-161171.20041559645,3163995.6725483807,41.0,2048.595458984375,Standard,50.0,3.56824551567772,2048.595458984375
42,-160871.20041559645,3163995.6725483807,42.0,2087.48583984375,Standard,33.0,1.5,2087.48583984375
43,-160571.20041559645,3163995.6725483807,43.0,2080.182861328125,Standard,53.0,3.3302630212580984,2080.182861328125
44,-160271.20041559645,3163995.6725483807,44.0,2077.371337890625,Standard,0.0,1.5,2077.371337890625
45,-159971.20041559645,3163995.6725483807,45.0,2077.371337890625,Standard,0.0,3.892624710914105,2077.371337890625
46,-159671.20041559645,3163995.6725483807,46.0,1975.330810546875,Standard,0.0,2.9328848988154888,1975.330810546875
47,-159371.20041559645,3163995.6725483807,47.0,1951.6622314453125,Standard,0.0,1.5,1951.6622314453125
48,-159071.20041559645,3163995.6725483807,48.0,1757.3673095703125,Standard,0.0,3.85097413809906,1757.3673095703125
49,-158771.20041559645,3163995.6725483807,49.0,585.56982421875,Standard,0.0,2.9638313720766947,585.56982421875
50,-163871.20041559645,3164295.6725483807,50.0,2041.1722412109373,Standard,14.0,1.5,2041.1722412109373
51,-163571.20041559645,3164295.6725483807,51.0,2040.0087890625,Standard,12.0,1.5,2040.0087890625
52,-163271.20041559645,3164295.6725483807,52.0,2044.1800537109373,Standard,67.0,1.5,2044.1800537109373
53,-162971.20041559645,3164295.6725483807,53.0,2019.0701904296875,Standard,18.0,1.5,2019.0701904296875
54,-162671.20041559645,3164295.6725483807,54.0,2032.24853515625,Standard,16.0,1.5,2032.24853515625
55,-162371.20041559645,3164295.6725483807,55.0,2017.7784423828125,Standard,7.0,1.5,2017.7784423828125
56,-162071.20041559645,3164295.6725483807,56.0,2047.179931640625,Standard,32.0,1.5,2047.179931640625
57,-161771.20041559645,3164295.6725483807,57.0,2132.85302734375,Standard,0.0,1.5,2132.85302734375
58,-161471.20041559645,3164295.6725483807,58.0,2110.4140625,Standard,0.0,3.621072507673351,2110.4140625
59,-161171.20041559645,3164295.6725483807,59.0,2086.859130859375,Standard,0.0,4.222384659253482,2086.859130859375
60,-160871.20041559645,3164295.6725483807,60.0,2146.38525390625,Standard,0.0,1.5,2146.38525390625
61,-160571.20041559645,3164295.6725483807,61.0,2157.610595703125,Standard,0.0,3.039971419458375,2157.610595703125
62,-160271.20041559645,3164295.6725483807,62.0,2107.181396484375,Standard,0.0,1.5,2107.181396484375
63,-159971.20041559645,3164295.6725483807,63.0,2107.181396484375,Standard,11.0,3.747501587519461,2107.181396484375
64,-159671.20041559645,3164295.6725483807,64.0,2004.74560546875,Standard,11.0,1.5,2004.74560546875
65,-159371.20041559645,3164295.6725483807,65.0,1988.2938232421875,Standard,39.0,1.5,1988.2938232421875
66,-159071.20041559645,3164295.6725483807,66.0,1977.909912109375,Standard,58.0,1.5,1977.909912109375
67,-158771.20041559645,3164295.6725483807,67.0,1668.8516845703125,Standard,20.0,1.5,1668.8516845703125
68,-158471.20041559645,3164295.6725483807,68.0,383.50537109375,Standard,0.0,2.88935380442562,383.50537109375
69,-164171.20041559645,3164595.6725483807,69.0,2089.630126953125,Standard,14.0,1.5,2089.630126953125
70,-163871.20041559645,3164595.6725483807,70.0,2103.934326171875,Standard,17.0,1.5,2103.934326171875
