;ID;residential_area;n_residential_area;admin_0;admin_1;admin_2;admin_3;OSM;urban_percentage;n_buildings;area;extension;population_facebook;population_worldpop;population_density;building_density;night_lights;schools;hospitals;distance_road;distance_grid;distance_official_substations;distance_substations;grid_buildings;lights_build;centroid;polygons;Existing_Voltage:;dist_from_city;HDI;Trees_cover_areas;Shrubs_cover_areas;Grassland;Cropland;Vegetation_aquatic_or_regularly_flooded;Lichen_Mosses_/_Sparse_vegetation;Bare_areas;Built_up_areas;Snow_and/or_Ice;Open_water;elevation_average;average_wealth_index;roads_extension;rivers_extension;close_to_roads_buildings_perc;proximity_to_water;GHI;DNI;TEMP;PVOUT;wind_50;geometry
84;29;0;0;['Lesotho'];['Butha-Buthe'];['Likila'];0;No OSM location found;0.0;379.0;0.4782827731661866;1.7918366999029498;562.5551890870622;557.5931396484375;1165.823171838751;792.4182539359633;100.0;0;0;1.832342833588287;0.7901966164960524;3.2814289107327137;0;21.23983637777545;100.0;POINT (-139850.3909645024 3176294.430513456);"0    POLYGON ((-139567.413 3176368.614, -139569.201...
Name: geometry, dtype: geometry";0.0;225;0.523296968637228;5.36;5.92;14.76;73.68;0.0;0.28;0.0;0.0;0.0;0.0;0;0.12133333333333335;5.534545856034044;0.0;0;1637;5.652444362640381;6.55911111831665;14.475000381469727;5.120749950408936;4.004158020019531;POINT (-139850.3909645024 3176294.430513456)
85;3;0;0;['Lesotho'];['Butha-Buthe'];['Likila'];0;No OSM location found;0.0;664.0;1.2925106511177342;2.3890197271682747;875.3609964168863;998.3621826171876;772.4208552972668;513.7288419447747;14.285714285714285;0;0;0.5337430048452293;0.8271262188735945;3.7898391466677457;0;0.0;1.4618145496352872;POINT (-138025.4928329379 3186222.072039598);"0    POLYGON ((-137818.758 3185968.872, -137747.150...
Name: geometry, dtype: geometry";0.0;118;0.523296968637228;5.52;25.19;25.69;43.42;0.0;0.0;0.0;0.18;0.0;0.0;0;0.02837500000000001;8.51358606854807;0.0;0;1181;5.675325393676758;6.625884532928468;14.144444465637207;5.140777587890625;3.3770229816436768;POINT (-138025.4928329379 3186222.072039598)
86;30;0;0;['Lesotho'];['Butha-Buthe'];['Likila'];0;No OSM location found;0.0;677.0;0.8517803758772431;1.9012424359823723;865.8075957043068;819.820068359375;962.4782298078276;794.8058198720088;80.0;0;0;0.05091590750057762;0.0054616569748619295;5.4974453632829405;0;74.73329086039155;100.0;POINT (-132807.4821231109 3176832.273832974);"0    POLYGON ((-133246.511 3176107.885, -133318.407...
Name: geometry, dtype: geometry";0.0;104;0.523296968637228;0.0;12.66;34.23;48.6;0.0;0.0;0.0;4.51;0.0;0.0;0;0.33728571428571424;12.345758566886328;0.688069093262721;0;536;5.642653465270996;6.544615745544434;15.033333778381348;5.100333690643311;3.032700300216675;POINT (-132807.4821231109 3176832.273832974)
87;31;0;0;['Lesotho'];['Butha-Buthe'];['Tsa-le-Moleka', 'Likila'];0;No OSM location found;0.0;551.0;0.9569216825565884;2.689389753706497;958.1018064139028;911.4056396484376;952.4349340830624;575.8046975463076;71.42857142857143;0;0;2.103757001784493;1.7222145307647352;3.8343742917647257;0;0.0;60.506780884840424;POINT (-133362.5960102668 3179548.82124753);"0    POLYGON ((-133850.211 3179282.590, -133852.121...
Name: geometry, dtype: geometry";;122;0.523296968637228;1.92;3.84;11.23;81.87;0.0;0.14;0.17;0.84;0.0;0.0;0;0.142625;7.717266340527407;0.0;0;212;5.65519380569458;6.539773464202881;14.59999942779541;5.125833034515381;3.5367913246154785;POINT (-133362.5960102668 3179548.82124753)
88;32;0;0;['Lesotho'];['Butha-Buthe'];['Likila'];0;No OSM location found;0.0;155.0;0.3895747681536792;1.4115196442707598;188.98338383393502;258.0140380859375;662.296583807903;397.8697099265313;100.0;0;0;0.2094833552865876;1.0040372310989016;2.9386401076298285;0;0.0;100.0;POINT (-139938.8079810695 3179081.322767969);"0    POLYGON ((-140177.674 3178913.862, -140219.257...
Name: geometry, dtype: geometry";;144;0.523296968637228;1.49;21.74;31.49;45.29;0.0;0.0;0.0;0.0;0.0;0.0;0;0.3455;4.535383806673004;0.0;0;1127;5.655733108520508;6.536333560943604;14.333333015441895;5.0926666259765625;3.308765411376953;POINT (-139938.8079810695 3179081.322767969)
89;33;0;0;['Lesotho'];['Butha-Buthe'];['Likila'];0;No OSM location found;0.0;101.0;0.2117071799768357;0.9651672168720484;118.66398519805222;170.74700927734375;806.5244140327519;477.07404166004716;100.0;0;0;0.00740450889980835;1.3215612320560015;3.234336579315572;0;0.0;100.0;POINT (-141442.7969640337 3177789.93084071);"0    POLYGON ((-141578.957 3177566.072, -141578.957...
Name: geometry, dtype: geometry";;255;0.523296968637228;0.0;10.58;32.36;57.06;0.0;0.0;0.0;0.0;0.0;0.0;0;0.01979999999999999;1.1761632830326416;0.0;0;1344;5.65983247756958;6.5886664390563965;13.766667366027832;5.13866662979126;3.828559875488281;POINT (-141442.7969640337 3177789.93084071)
90;34;0;0;['Lesotho'];['Butha-Buthe'];['Likila'];0;No OSM location found;0.0;325.0;0.5129160332801029;1.753619210808471;544.9753394280913;526.816650390625;1027.1011553716257;633.631976605648;100.0;0;0;1.3598515930510846;0.6531175548176474;4.552173638716172;0;34.04786910708616;100.0;POINT (-132918.2453887794 3178511.154166816);"0    POLYGON ((-132599.751 3178616.160, -132623.874...
Name: geometry, dtype: geometry";0.0;126;0.523296968637228;0.13;7.48;3.87;86.69;0.0;0.0;0.0;1.84;0.0;0.0;0;0.2614285714285714;6.848513053854643;0.0;0;1146;5.648263454437256;6.544736862182617;14.75;5.122000217437744;3.2580444812774663;POINT (-132918.2453887794 3178511.154166816)
91;35;0;0;['Lesotho'];['Butha-Buthe'];['Nqoe'];0;No OSM location found;0.0;194.0;0.4632240843496293;1.3427213388137047;221.81284680698883;237.91522216796875;513.607194025768;418.80378536961814;100.0;0;0;0.6030731914199874;13.794972106828634;14.92056191409354;0;0.0;100.0;POINT (-155806.9718364266 3211297.442499569);"0    POLYGON ((-156118.058 3210830.490, -156118.058...
Name: geometry, dtype: geometry";;1602;0.523296968637228;1.38;31.54;37.65;28.55;0.0;0.29;0.58;0.0;0.0;0.0;0;-0.002714285714285712;2.2754931757518433;0.3624436495949411;0;894;5.524800777435303;6.355400085449219;10.425000190734863;5.004499912261963;3.769155740737915;POINT (-155806.9718364266 3211297.442499569)
92;36;0;0;['Lesotho'];['Butha-Buthe'];['Nqoe'];0;['village', None];0.0;369.0;0.7659605661083235;2.356727895078966;417.83350212479286;429.2965698242188;560.4682392533335;481.7480381200399;0.0;0;0;0.9202055692037966;10.23755993385531;11.122584667865867;0;0.0;0.0;POINT (-149265.7228191992 3211514.410533074);"0    POLYGON ((-148560.797 3211099.900, -148560.797...
Name: geometry, dtype: geometry";;1288;0.523296968637228;0.52;22.28;2.71;74.49;0.0;0.0;0.0;0.0;0.0;0.0;0;-0.10483333333333332;3.3904912920509536;0.7097457847902877;0;974;5.420567512512207;6.176766872406006;11.866665840148926;4.939000129699707;4.1583452224731445;POINT (-149265.7228191992 3211514.410533074)
93;37;0;0;['Lesotho'];['Butha-Buthe'];['Nqoe'];0;No OSM location found;0.0;282.0;0.5353265163501066;1.4736488736884377;257.9219148918474;402.138671875;751.2026017631433;526.781303348647;25.0;0;0;0.1221163225294543;12.816780025597366;13.838971673981359;0;0.0;3.1585708832317074;POINT (-152606.3653593268 3210147.098226454);"0    POLYGON ((-152324.306 3209997.952, -152359.664...
Name: geometry, dtype: geometry";;1459;0.523296968637228;0.0;41.76;14.37;42.69;0.0;0.0;1.17;0.0;0.0;0.0;0;-0.1755;4.282982173940831;0.0;0;1337;5.48438835144043;6.3081111907958975;10.699999809265137;5.046999931335449;4.708191394805908;POINT (-152606.3653593268 3210147.098226454)
