ID,residential_area,n_residential_area,admin_0,admin_1,admin_2,admin_3,OSM,urban_percentage,n_buildings,area,extension,population_facebook,population_worldpop,population_density,building_density,night_lights,schools,hospitals,distance_road,distance_grid,distance_official_substations,distance_substations,grid_buildings,lights_build,centroid,Existing_Voltage:
111,0,0,['Lesotho'],['Butha-Buthe'],['Nqoe'],0,No OSM location found,0.0,1410.0,2.2741346307273558,3.6924702232055746,1464.9964765856935,1858.7952880859375,817.3637844349713,620.0160627908946,30.76923076923077,0,0,0.22377495983570092,0.7630901007257845,4.807640977049962,0,0.0,30.538525659056788,POINT (-146220.0579042325 3183621.174300684),0.0
112,0,0,['Lesotho'],['Butha-Buthe'],['Nqoe'],0,No OSM location found,0.0,160.0,0.3937948524737505,1.1694638006562406,278.5556680831952,267.7375183105469,679.890853394011,406.30292395877683,100.0,0,0,1.8207446431107344,0.7077440311617441,2.500851874407398,0,0.0,100.0,POINT (-144664.4396693115 3181476.50450121),
113,0,0,['Lesotho'],['Butha-Buthe'],['Nqoe'],0,No OSM location found,0.0,129.0,0.251524566575419,0.9166044516609559,309.5062978702169,231.48770141601562,920.3383373949862,512.872367722855,100.0,0,0,1.1895948177398068,0.14086310588507092,1.794212431967957,0,74.79256577618455,100.0,POINT (-143770.0727711318 3181839.484136826),0.0
114,0,0,['Lesotho'],['Butha-Buthe'],['Nqoe'],0,No OSM location found,0.0,429.0,0.46716071671668996,1.4657005974713888,366.2491191464233,522.8055419921875,1119.1128091132787,918.313515346727,0.0,0,0,0.10431407592506584,0.18399167440822997,8.040575723521984,0,0.0,0.0,POINT (-149958.138772875 3183128.399853748),0.0
115,0,0,['Lesotho'],['Butha-Buthe'],['Nqoe'],0,No OSM location found,0.0,152.0,0.42944736558998425,1.4098916321818986,216.65440850915184,274.3957214355469,638.950761890403,353.9432586602995,100.0,0,0,0.11534263393161927,1.1301793341827158,2.405730745583525,0,0.0,100.0,POINT (-143573.1699131498 3183637.828249867),
116,0,0,['Lesotho'],['Butha-Buthe'],['Nqoe'],0,No OSM location found,0.0,1.0,0.0004935126500424093,0.033526832141949195,0.0,0.0,0.0,2026.290511325427,100.0,0,0,1.3593380299401585,0.43267663552944857,1.4937814533276452,0,0.0,0.0,POINT (-143604.623310254 3181499.665694403),
117,0,0,['Lesotho'],['Butha-Buthe'],['Nqoe'],0,No OSM location found,0.0,223.0,0.3233960753428596,1.0988313634284408,304.34785957237995,288.7213439941406,892.7793687293288,689.5569148870431,0.0,0,0,0.09865999815412295,0.41269870940550074,5.95705008991579,0,0.0,0.0,POINT (-147618.9385099449 3183455.318889553),0.0
118,0,0,['Lesotho'],['Butha-Buthe'],['Nqoe'],0,No OSM location found,0.0,105.0,0.12915067757565402,0.7136616654108356,78.71043842598034,102.1948471069336,791.2838633546447,813.003864718348,0.0,0,0,0.3312430699720535,3.0398173450485015,3.789397172752042,0,0.0,0.0,POINT (-146404.9955983979 3218283.207683913),
119,0,0,['Lesotho'],['Butha-Buthe'],['Nqoe'],0,No OSM location found,0.0,408.0,0.7178059793245117,2.2702837597528926,324.9816127637277,502.3106689453125,699.7861308121309,568.3987202000555,100.0,0,0,2.036980493149219,11.877069710623054,13.050568347318485,0,0.0,100.0,POINT (-155673.9627801951 3213965.225750353),
12,0,0,['Lesotho'],['Butha-Buthe'],['Likila'],0,No OSM location found,0.0,227.0,0.2676596273801026,1.189270974893291,320.8322562762152,330.1376647949219,1233.4234640702625,848.0920422026815,100.0,0,0,1.812992931350177,1.5367743904835756,1.8113536137190887,0,0.0,100.0,POINT (-136224.7246174256 3181783.096852323),
120,0,0,['Lesotho'],['Butha-Buthe'],['Tsa-le-Moleka'],0,No OSM location found,0.0,375.0,0.47993456998059464,1.3613903010066835,294.03098297670607,455.6883239746094,949.4801009917547,781.3565086906794,0.0,0,0,0.3895861819339103,4.627685413198961,5.98396357930998,0,0.0,0.0,POINT (-138304.5273627685 3190032.902228243),
121,0,0,['Lesotho'],['Butha-Buthe'],"['Tsa-le-Moleka', 'Likila']",0,No OSM location found,0.0,190.0,0.35034709946535236,1.2259181689549472,299.189421274543,204.88978576660156,584.8194150294776,542.3193178706196,0.0,0,0,1.8036763615198022,5.8518138241986115,6.605977418680051,0,0.0,0.0,POINT (-139442.7408682492 3191292.294900626),
122,0,0,['Lesotho'],['Butha-Buthe'],['Nqoe'],0,No OSM location found,0.0,918.0,1.3566814730545642,3.1790731426281087,1657.7773354872977,1466.356689453125,1080.8408005687786,676.6510918241743,100.0,0,0,0.07016094670742021,0.013848293174435566,2.3468120437517315,0,69.70653276682792,100.0,POINT (-139947.0018576921 3181495.012565395),0.0
123,0,0,['Lesotho'],['Butha-Buthe'],['Nqoe'],0,No OSM location found,0.0,128.0,0.11529915874553234,0.8888481417798009,196.020655317804,206.60928344726562,1791.9409447145806,1110.1555413990372,100.0,0,0,0.07160041029890159,0.05852150301822348,0.8265363326962171,0,0.0,100.0,POINT (-141491.104454894 3181309.798455654),0.0
124,0,0,['Lesotho'],['Butha-Buthe'],['Nqoe'],0,No OSM location found,0.0,197.0,0.12140050953659878,0.8173232661734184,226.9712851048257,177.7039337158203,1463.7824371095219,1622.7279502530434,50.0,0,0,1.947465778281056,10.625526466912033,11.758699265933597,0,0.0,43.523176393097955,POINT (-153810.3601831202 3213775.553180074),
125,0,0,['Lesotho'],['Butha-Buthe'],['Nqoe'],0,No OSM location found,0.0,992.0,1.7482785305203437,2.88199800774796,1748.710582966726,1443.34423828125,825.5802568551045,567.4153075052343,100.0,0,0,0.6665728347754795,0.10439760386639907,1.0172646058435109,0,55.729866716714504,100.0,POINT (-142725.6463185982 3181813.6029635),0.0
126,0,0,['Lesotho'],['Butha-Buthe'],['Tsa-le-Moleka'],0,No OSM location found,0.0,625.0,1.0474371874313244,3.363521447944053,958.0861815945012,957.3936767578125,914.0344530879894,596.6944915644198,0.0,0,0,1.189060717861062,3.6251096372984093,8.93338325647031,0,0.0,0.5732073840371628,POINT (-133611.4100013821 3188992.274383932),
